Energy (eV),COHP,Int. COHP
-12.960491,0.0,0.0
-12.934776,0.0,0.0
-12.909061,0.0,0.0
-12.883346,0.0,0.0
-12.857631,0.0,0.0
-12.831916,0.0,0.0
-12.806201,0.0,0.0
-12.780486,0.0,0.0
-12.754771,0.0,0.0
-12.729056,0.0,0.0
-12.703341,0.0,0.0
-12.677626,0.0,0.0
-12.651911,0.0,0.0
-12.626196,0.0,0.0
-12.600481,0.0,0.0
-12.574766,0.0,0.0
-12.549051,0.0,0.0
-12.523336,0.0,0.0
-12.497621,0.0,0.0
-12.471906,0.0,0.0
-12.446191,0.0,0.0
-12.420476,0.0,0.0
-12.394761,0.0,0.0
-12.369046,0.0,0.0
-12.343331,0.0,0.0
-12.317616,0.0,0.0
-12.291901,0.0,0.0
-12.266187,0.0,0.0
-12.240472,0.0,0.0
-12.214757,0.0,0.0
-12.189042,0.0,0.0
-12.163327,0.0,0.0
-12.137612,0.0,0.0
-12.111897,0.0,0.0
-12.086182,0.0,0.0
-12.060467,0.0,0.0
-12.034752,0.0,0.0
-12.009037,0.0,0.0
-11.983322,0.0,0.0
-11.957607,0.0,0.0
-11.931892,0.0,0.0
-11.906177,0.0,0.0
-11.880462,0.0,0.0
-11.854747,0.0,0.0
-11.829032,0.0,0.0
-11.803317,0.0,0.0
-11.777602,0.0,0.0
-11.751887,0.0,0.0
-11.726172,0.0,0.0
-11.700457,0.0,0.0
-11.674742,0.0,0.0
-11.649027,0.0,0.0
-11.623312,0.0,0.0
-11.597598,0.0,0.0
-11.571883,0.0,0.0
-11.546168,0.0,0.0
-11.520453,0.0,0.0
-11.494738,0.0,0.0
-11.469023,0.0,0.0
-11.443308,0.0,0.0
-11.417593,0.0,0.0
-11.391878,0.0,0.0
-11.366163,0.0,0.0
-11.340448,0.0,0.0
-11.314733,0.0,0.0
-11.289018,0.0,0.0
-11.263303,0.0,0.0
-11.237588,0.0,0.0
-11.211873,0.0,0.0
-11.186158,0.0,0.0
-11.160443,0.0,0.0
-11.134728,0.0,0.0
-11.109013,0.0,0.0
-11.083298,0.0,0.0
-11.057583,0.0,0.0
-11.031868,0.0,0.0
-11.006153,0.0,0.0
-10.980438,0.0,0.0
-10.954723,0.000652,1e-06
-10.929009,0.01158,0.000184
-10.903294,0.015185,0.000529
-10.877715,0.018183,0.000967
-10.852,0.020785,0.001463
-10.826285,0.024971,0.002037
-10.80057,0.023936,0.002707
-10.774855,0.021848,0.003311
-10.74914,0.018958,0.003849
-10.723425,0.037248,0.004512
-10.69771,0.025115,0.005194
-10.671995,0.028198,0.005913
-10.64628,0.030022,0.006666
-10.620565,0.021491,0.007345
-10.59485,0.007552,0.007706
-10.569135,0.00216,0.007817
-10.54342,0.0,0.007836
-10.517705,0.0,0.007836
-10.49199,0.0,0.007836
-10.466275,0.0,0.007836
-10.44056,0.0,0.007836
-10.414845,0.007381,0.007891
-10.38913,0.027053,0.008369
-10.363415,0.047,0.009401
-10.3377,0.053028,0.010545
-10.311985,0.061131,0.011853
-10.286271,0.053699,0.013133
-10.260556,0.030454,0.014391
-10.234841,0.04006,0.015244
-10.209126,0.030929,0.016051
-10.183411,0.028062,0.016793
-10.157696,0.026276,0.017533
-10.131981,0.028934,0.018231
-10.106266,0.025586,0.018967
-10.080551,0.026976,0.019605
-10.054836,0.024797,0.020242
-10.029121,0.026781,0.021083
-10.003406,0.04082,0.021945
-9.977691,0.074261,0.023281
-9.951976,0.031406,0.024445
-9.926261,0.039896,0.026016
-9.900546,0.05077,0.027277
-9.874831,0.052399,0.028764
-9.849116,0.015105,0.029539
-9.823401,0.041905,0.030503
-9.797686,0.001816,0.031056
-9.771971,0.026091,0.031653
-9.746256,0.032849,0.032469
-9.720541,0.025372,0.033236
-9.694826,0.04884,0.033837
-9.669111,0.055899,0.035815
-9.643396,0.083363,0.037198
-9.617682,0.030309,0.038628
-9.591967,0.065664,0.040768
-9.566252,0.011347,0.041721
-9.540537,0.0,0.041753
-9.514822,0.0,0.041753
-9.489107,0.0,0.041753
-9.463392,0.0,0.041753
-9.437677,0.0,0.041753
-9.411962,0.07527,0.042179
-9.386247,0.13163,0.044873
-9.360532,0.0,0.046765
-9.334817,0.0,0.046765
-9.309102,0.0,0.046765
-9.283387,0.0,0.046765
-9.257672,0.0,0.046765
-9.231957,0.0,0.046765
