Energy (eV),COHP,Int. COHP
-12.955021,0.0,0.0
-12.929306,0.0,0.0
-12.903591,0.0,0.0
-12.877876,0.0,0.0
-12.852161,0.0,0.0
-12.826446,0.0,0.0
-12.800731,0.0,0.0
-12.775016,0.0,0.0
-12.749301,0.0,0.0
-12.723586,0.0,0.0
-12.697871,0.0,0.0
-12.672156,0.0,0.0
-12.646441,0.0,0.0
-12.620726,0.0,0.0
-12.595012,0.0,0.0
-12.569297,0.0,0.0
-12.543582,0.0,0.0
-12.517867,0.0,0.0
-12.492152,0.0,0.0
-12.466437,0.0,0.0
-12.440722,0.0,0.0
-12.415007,0.0,0.0
-12.389292,0.0,0.0
-12.363577,0.0,0.0
-12.337862,0.0,0.0
-12.312147,0.0,0.0
-12.286432,0.0,0.0
-12.260717,0.0,0.0
-12.235002,0.0,0.0
-12.209287,0.0,0.0
-12.183572,0.0,0.0
-12.157857,0.0,0.0
-12.132142,0.0,0.0
-12.106427,0.0,0.0
-12.080712,0.0,0.0
-12.054997,0.0,0.0
-12.029282,0.0,0.0
-12.003567,0.0,0.0
-11.977852,0.0,0.0
-11.952137,0.0,0.0
-11.926423,0.0,0.0
-11.900708,0.0,0.0
-11.874993,0.0,0.0
-11.849278,0.0,0.0
-11.823563,0.0,0.0
-11.797848,0.0,0.0
-11.772133,0.0,0.0
-11.746418,0.0,0.0
-11.720703,0.0,0.0
-11.694988,0.0,0.0
-11.669273,0.0,0.0
-11.643558,0.0,0.0
-11.617843,0.0,0.0
-11.592128,0.0,0.0
-11.566413,0.0,0.0
-11.540698,0.0,0.0
-11.514983,0.0,0.0
-11.489268,0.0,0.0
-11.463553,0.0,0.0
-11.437838,0.0,0.0
-11.412123,0.0,0.0
-11.386408,0.0,0.0
-11.360693,0.0,0.0
-11.334978,0.0,0.0
-11.309263,0.0,0.0
-11.283548,0.0,0.0
-11.257833,0.0,0.0
-11.232119,0.0,0.0
-11.206404,0.0,0.0
-11.180689,0.0,0.0
-11.154974,0.0,0.0
-11.129259,0.0,0.0
-11.103544,0.0,0.0
-11.077829,0.0,0.0
-11.052114,0.0,0.0
-11.026399,0.0,0.0
-11.000684,0.0,0.0
-10.974969,0.0,0.0
-10.949254,0.000368,0.0
-10.923539,0.006095,9.5e-05
-10.897824,0.008575,0.000283
-10.872245,0.011109,0.00054
-10.84653,0.013784,0.000857
-10.820815,0.018566,0.001259
-10.7951,0.019876,0.001781
-10.769385,0.020995,0.002324
-10.74367,0.020761,0.002884
-10.717955,0.04392,0.003704
-10.69224,0.041753,0.004608
-10.666525,0.067399,0.005998
-10.64081,0.095375,0.008015
-10.615095,0.084342,0.010346
-10.589381,0.033253,0.011756
-10.563666,0.012468,0.012315
-10.537951,0.0,0.012383
-10.512236,0.0,0.012383
-10.486521,0.0,0.012383
-10.460806,0.0,0.012383
-10.435091,0.0,0.012383
-10.409376,0.000999,0.012388
-10.383661,0.005715,0.012471
-10.357946,0.012639,0.012705
-10.332231,0.016429,0.013044
