Energy (eV),DOS,Intg. DOS
-14.348082,0.0,0.0
-14.331443,0.0,0.0
-14.314804,0.0,0.0
-14.298166,0.0,0.0
-14.281527,0.0,0.0
-14.264889,0.0,0.0
-14.24825,0.0,0.0
-14.231612,0.0,0.0
-14.214973,0.0,0.0
-14.198335,0.0,0.0
-14.181696,0.0,0.0
-14.165057,0.0,0.0
-14.148419,0.0,0.0
-14.13178,0.0,0.0
-14.115142,0.0,0.0
-14.098503,0.0,0.0
-14.081865,0.0,0.0
-14.065226,0.0,0.0
-14.048588,0.0,0.0
-14.031949,0.0,0.0
-14.01531,0.0,0.0
-13.998672,0.0,0.0
-13.982033,0.0,0.0
-13.965395,0.0,0.0
-13.948756,0.0,0.0
-13.932118,0.0,0.0
-13.915479,0.0,0.0
-13.898841,0.0,0.0
-13.882202,0.0,0.0
-13.865563,0.0,0.0
-13.848925,0.0,0.0
-13.832286,0.0,0.0
-13.815648,0.0,0.0
-13.799009,0.0,0.0
-13.782371,0.0,0.0
-13.765732,0.0,0.0
-13.749094,0.0,0.0
-13.732455,0.0,0.0
-13.715816,0.0,0.0
-13.699178,0.0,0.0
-13.682539,0.0,0.0
-13.665901,0.0,0.0
-13.649262,0.0,0.0
-13.632624,0.0,0.0
-13.615985,0.0,0.0
-13.599347,0.0,0.0
-13.582708,0.0,0.0
-13.566069,0.0,0.0
-13.549431,0.0,0.0
-13.532792,0.0,0.0
-13.516154,0.0,0.0
-13.499515,0.0,0.0
-13.482877,0.0,0.0
-13.466238,0.0,0.0
-13.4496,0.0,0.0
-13.432961,0.0,0.0
-13.416322,0.0,0.0
-13.399684,0.0,0.0
-13.383045,0.0,0.0
-13.366407,0.0,0.0
-13.349768,0.0,0.0
-13.33313,0.0,0.0
-13.316491,0.0,0.0
-13.299853,0.0,0.0
-13.283214,0.0,0.0
-13.266575,0.0,0.0
-13.249937,0.0,0.0
-13.233298,0.0,0.0
-13.21666,0.0,0.0
-13.200021,0.0,0.0
-13.183383,0.0,0.0
-13.166744,0.0,0.0
-13.150106,0.0,0.0
-13.133467,0.0,0.0
-13.116828,0.0,0.0
-13.10019,0.0,0.0
-13.083551,0.0,0.0
-13.066913,0.0,0.0
-13.050274,0.0,0.0
-13.033636,0.0,0.0
-13.016997,0.0,0.0
-13.000359,0.0,0.0
-12.98372,0.0,0.0
-12.967081,0.0,0.0
-12.950443,0.0,0.0
-12.933804,0.0,0.0
-12.917166,0.0,0.0
-12.900527,0.0,0.0
-12.883889,0.0,0.0
-12.86725,0.0,0.0
-12.850612,0.0,0.0
-12.833973,0.0,0.0
-12.817334,0.0,0.0
-12.800696,0.0,0.0
-12.784057,0.0,0.0
-12.767419,0.0,0.0
-12.75078,0.0,0.0
-12.734142,0.0,0.0
-12.717503,0.0,0.0
-12.700865,0.0,0.0
-12.684226,0.0,0.0
-12.667588,0.0,0.0
-12.650949,0.0,0.0
-12.63431,0.0,0.0
-12.617672,0.0,0.0
-12.601033,0.0,0.0
-12.584395,0.0,0.0
-12.567756,0.0,0.0
-12.551118,0.0,0.0
-12.534479,0.0,0.0
-12.517841,0.0,0.0
-12.501202,0.0,0.0
-12.484563,0.0,0.0
-12.467925,0.0,0.0
-12.451286,0.0,0.0
-12.434648,0.0,0.0
-12.418009,0.0,0.0
-12.401371,0.0,0.0
-12.384732,0.0,0.0
-12.368094,0.0,0.0
-12.351455,0.0,0.0
-12.334816,0.0,0.0
-12.318178,0.0,0.0
-12.301539,0.0,0.0
-12.284901,0.0,0.0
-12.268262,0.0,0.0
-12.251624,0.0,0.0
-12.234985,0.0,0.0
-12.218347,0.0,0.0
-12.201708,0.0,0.0
-12.185069,0.0,0.0
-12.168431,0.0,0.0
-12.151792,0.0,0.0
-12.135154,0.0,0.0
-12.118515,0.0,0.0
-12.101877,0.0,0.0
-12.085238,0.0,0.0
-12.0686,0.0,0.0
-12.051961,0.0,0.0
-12.035322,0.0,0.0
-12.018684,0.0,0.0
-12.002045,0.0,0.0
-11.985407,0.0,0.0
-11.968768,0.0,0.0
-11.95213,0.0,0.0
-11.935491,0.0,0.0
-11.918853,0.0,0.0
-11.902214,0.0,0.0
-11.885575,0.0,0.0
-11.868937,0.0,0.0
-11.852298,0.0,0.0
-11.83566,0.0,0.0
-11.819021,0.0,0.0
-11.802383,0.0,0.0
-11.785744,0.0,0.0
-11.769106,0.0,0.0
-11.752467,0.0,0.0
-11.735828,0.0,0.0
-11.71919,0.0,0.0
-11.702551,0.0,0.0
-11.685913,0.0,0.0
-11.669274,0.0,0.0
-11.652636,0.0,0.0
-11.635997,0.0,0.0
-11.619359,0.0,0.0
-11.60272,0.0,0.0
-11.586081,0.0,0.0
-11.569443,0.0,0.0
-11.552804,0.0,0.0
-11.536166,0.0,0.0
-11.519527,0.0,0.0
-11.502889,0.0,0.0
-11.48625,0.0,0.0
-11.469612,0.0,0.0
-11.452973,0.0,0.0
-11.436334,0.0,0.0
-11.419696,0.0,0.0
-11.403057,0.0,0.0
-11.386419,0.0,0.0
-11.36978,0.0,0.0
-11.353142,0.0,0.0
-11.336503,0.0,0.0
-11.319865,0.0,0.0
-11.303226,0.0,0.0
-11.286587,0.0,0.0
-11.269949,0.0,0.0
-11.25331,0.0,0.0
-11.236672,0.0,0.0
-11.220033,0.0,0.0
-11.203395,0.0,0.0
-11.186756,0.0,0.0
-11.170118,0.0,0.0
-11.153479,0.0,0.0
-11.13684,0.0,0.0
-11.120202,0.0,0.0
-11.103563,0.0,0.0
-11.086925,0.0,0.0
-11.070286,0.0,0.0
-11.053648,0.0,0.0
-11.037009,0.0,0.0
-11.020371,0.0,0.0
-11.003732,0.0,0.0
-10.987093,0.0,0.0
-10.970455,0.0,0.0
-10.953816,0.707098,0.001498
-10.937178,2.852816,0.036438
-10.920539,4.067569,0.097127
-10.903901,5.146334,0.173409
-10.887262,6.10023,0.267989
-10.870624,6.899039,0.375506
-10.853985,7.98517,0.499186
-10.837346,9.554614,0.642001
-10.820708,11.284843,0.820707
-10.804069,10.455225,0.997537
-10.787431,11.231692,1.183801
-10.770792,12.066897,1.379239
-10.754154,11.909856,1.569008
-10.737515,22.226592,1.87689
-10.720877,17.157312,2.16683
-10.704238,25.79665,2.533195
-10.687599,31.561497,3.012098
-10.670961,42.109875,3.615203
-10.654322,38.503085,4.278694
-10.637684,25.537737,4.838453
-10.621045,12.911915,5.134818
-10.604407,6.406307,5.284688
-10.587768,0.0,5.340176
-10.57113,0.0,5.340176
-10.554491,0.0,5.340176
-10.537852,0.0,5.340176
-10.521214,0.0,5.340176
-10.504575,0.0,5.340176
-10.487937,0.0,5.340176
-10.471298,0.0,5.340176
-10.45466,0.0,5.340176
-10.438021,0.0,5.340176
-10.421383,0.0,5.340176
-10.404744,0.102573,5.340219
-10.388106,7.490795,5.401497
-10.371467,15.87563,5.611168
-10.354828,28.157791,5.952095
-10.33819,33.020769,6.483752
-10.321551,52.665143,7.160751
-10.304913,43.566368,7.881937
-10.288274,36.626785,8.542901
-10.271636,42.567774,9.385147
-10.254997,25.938245,9.939978
-10.238359,41.006111,10.476197
-10.22172,23.645728,10.996996
-10.205081,30.171957,11.456424
-10.188443,36.942377,11.992311
-10.171804,29.80992,12.569807
-10.155166,34.318809,13.088506
-10.138527,43.472528,13.726724
-10.121889,34.676571,14.429026
-10.10525,34.46489,14.979794
-10.088612,40.904819,15.657541
-10.071973,41.798769,16.460361
-10.055334,41.967841,17.128105
-10.038696,37.218472,17.828128
-10.022057,74.82707,18.690702
-10.005419,80.192428,20.168935
-9.98878,144.988294,21.968001
-9.972142,69.864272,23.92919
-9.955503,56.151312,24.633766
-9.938865,86.527834,25.591143
-9.922226,197.803435,27.629749
-9.905587,11.477998,29.773351
-9.888949,114.645037,31.182309
-9.87231,40.834549,32.253912
-9.855672,19.00899,32.729804
-9.839033,69.167658,33.415331
-9.822395,29.861857,34.811517
-9.805756,26.562407,35.604494
-9.789118,14.277717,35.834058
-9.772479,44.34245,36.29614
-9.75584,46.03341,37.168845
-9.739202,80.978125,38.453546
-9.722563,72.380447,39.599108
-9.705925,88.609611,40.864678
-9.689286,25.06487,41.709783
-9.672648,52.745135,42.234616
-9.656009,106.674065,43.832351
-9.639371,65.826016,45.070552
-9.622732,95.621857,46.29204
-9.606093,111.531151,47.817191
-9.589455,160.400064,49.341553
-9.572816,159.851692,52.293799
-9.556178,51.695098,54.237008
-9.539539,0.0,54.545743
-9.522901,0.0,54.545743
-9.506262,0.0,54.545743
-9.489624,0.0,54.545743
-9.472985,0.0,54.545743
-9.456346,0.0,54.545743
-9.439708,0.0,54.545743
-9.423069,0.0,54.545743
-9.406431,50.534783,54.776711
-9.389792,112.460918,57.220569
-9.373154,256.730619,58.922144
-9.356515,0.0,61.290833
-9.339877,0.0,61.290833
-9.323238,0.0,61.290833
-9.306599,0.0,61.290833
-9.289961,0.0,61.290833
-9.273322,0.0,61.290833
-9.256684,0.0,61.290833
-9.240045,0.0,61.290833
-9.223407,0.0,61.290833
-9.206768,0.0,61.290833
-9.19013,0.0,61.290833
-9.173491,0.0,61.290833
-9.156852,0.0,61.290833
-9.140214,0.0,61.290833
-9.123575,0.0,61.290833
-9.106937,0.0,61.290833
-9.090298,0.0,61.290833
-9.07366,0.0,61.290833
-9.057021,0.0,61.290833
-9.040383,0.0,61.290833
-9.023744,0.0,61.290833
-9.007105,0.0,61.290833
-8.990467,0.0,61.290833
-8.973828,0.0,61.290833
-8.95719,0.0,61.290833
-8.940551,0.0,61.290833
-8.923913,0.0,61.290833
-8.907274,0.0,61.290833
-8.890636,0.0,61.290833
-8.873997,0.0,61.290833
-8.857358,0.0,61.290833
-8.84072,0.0,61.290833
-8.824081,0.0,61.290833
-8.807443,0.0,61.290833
-8.790804,0.0,61.290833
-8.774166,0.0,61.290833
-8.757527,35.64514,61.483262
-8.740889,145.158559,62.804327
-8.72425,37.24824,64.59522
-8.707611,120.45052,65.481747
-8.690973,68.797132,67.547735
-8.674334,9.491659,68.019139
-8.657696,0.0,68.034547
-8.641057,0.0,68.034547
-8.624419,0.0,68.034547
-8.60778,0.0,68.034547
-8.591142,0.0,68.034547
-8.574503,0.0,68.034547
-8.557864,0.0,68.034547
-8.541226,0.0,68.034547
-8.524587,0.0,68.034547
-8.507949,0.0,68.034547
-8.49131,0.0,68.034547
-8.474672,0.0,68.034547
-8.458033,0.0,68.034547
-8.441395,0.0,68.034547
-8.424756,0.0,68.034547
-8.408117,0.0,68.034547
-8.391479,0.0,68.034547
-8.37484,0.0,68.034547
-8.358202,0.0,68.034547
-8.341563,0.0,68.034547
-8.324925,0.0,68.034547
-8.308286,0.0,68.034547
-8.291648,0.0,68.034547
-8.275009,0.0,68.034547
-8.25837,0.0,68.034547
-8.241732,0.0,68.034547
-8.225093,0.0,68.034547
-8.208455,0.0,68.034547
-8.191816,0.0,68.034547
-8.175178,0.0,68.034547
-8.158539,0.0,68.034547
-8.141901,0.0,68.034547
-8.125262,0.0,68.034547
-8.108624,0.0,68.034547
-8.091985,0.0,68.034547
-8.075346,0.0,68.034547
-8.058708,0.0,68.034547
-8.042069,0.0,68.034547
-8.025431,0.0,68.034547
-8.008792,0.0,68.034547
-7.992154,0.0,68.034547
-7.975515,0.0,68.034547
-7.958877,0.0,68.034547
-7.942238,0.0,68.034547
-7.925599,0.0,68.034547
-7.908961,0.0,68.034547
-7.892322,0.0,68.034547
-7.875684,0.0,68.034547
-7.859045,0.0,68.034547
-7.842407,0.0,68.034547
-7.825768,0.0,68.034547
-7.80913,0.0,68.034547
-7.792491,0.0,68.034547
-7.775852,0.0,68.034547
-7.759214,0.0,68.034547
-7.742575,0.0,68.034547
-7.725937,0.0,68.034547
-7.709298,0.0,68.034547
-7.69266,0.0,68.034547
-7.676021,0.0,68.034547
-7.659383,0.0,68.034547
-7.642744,0.0,68.034547
-7.626105,0.0,68.034547
-7.609467,0.0,68.034547
-7.592828,0.0,68.034547
-7.57619,0.0,68.034547
-7.559551,0.0,68.034547
-7.542913,0.0,68.034547
-7.526274,0.0,68.034547
-7.509636,0.0,68.034547
-7.492997,0.0,68.034547
-7.476358,0.0,68.034547
-7.45972,0.0,68.034547
-7.443081,0.0,68.034547
-7.426443,0.0,68.034547
-7.409804,0.0,68.034547
-7.393166,0.0,68.034547
-7.376527,0.0,68.034547
-7.359889,0.0,68.034547
-7.34325,0.0,68.034547
-7.326611,0.0,68.034547
-7.309973,0.0,68.034547
-7.293334,0.0,68.034547
-7.276696,0.0,68.034547
-7.260057,0.0,68.034547
-7.243419,0.0,68.034547
-7.22678,0.0,68.034547
-7.210142,0.0,68.034547
-7.193503,0.0,68.034547
-7.176864,0.0,68.034547
-7.160226,0.0,68.034547
-7.143587,0.0,68.034547
-7.126949,0.0,68.034547
-7.11031,0.0,68.034547
-7.093672,0.0,68.034547
-7.077033,0.0,68.034547
-7.060395,0.0,68.034547
-7.043756,0.0,68.034547
-7.027117,0.0,68.034547
-7.010479,0.0,68.034547
-6.99384,0.0,68.034547
-6.977202,0.0,68.034547
-6.960563,0.0,68.034547
-6.943925,0.0,68.034547
-6.927286,0.0,68.034547
-6.910648,0.0,68.034547
-6.894009,0.0,68.034547
-6.87737,0.0,68.034547
-6.860732,0.0,68.034547
-6.844093,0.0,68.034547
-6.827455,0.0,68.034547
-6.810816,0.0,68.034547
-6.794178,0.0,68.034547
-6.777539,0.0,68.034547
-6.760901,0.0,68.034547
-6.744262,0.0,68.034547
-6.727623,0.0,68.034547
-6.710985,0.0,68.034547
-6.694346,0.0,68.034547
-6.677708,0.0,68.034547
-6.661069,0.0,68.034547
-6.644431,0.0,68.034547
-6.627792,0.0,68.034547
-6.611154,0.0,68.034547
-6.594515,0.0,68.034547
-6.577876,0.0,68.034547
-6.561238,0.0,68.034547
-6.544599,0.0,68.034547
-6.527961,0.0,68.034547
-6.511322,0.0,68.034547
-6.494684,0.0,68.034547
