n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950723.47234766,-12935.2621280823,-62.188760231164906
1,initial,1,-950723.47201414,-12935.262123544526,-62.18876020934868
1,initial,2,-950723.47032186,-12935.262100519865,-62.1887600986532
1,initial,3,-950723.47145443,-12935.262115929278,-62.18876017273691
1,initial,4,-950723.47131428,-12935.262114022438,-62.18876016356941
1,initial,5,-950723.47133191,-12935.262114262305,-62.188760164722616
1,initial,6,-950723.47144123,-12935.262115749681,-62.18876017187347
1,initial,7,-950723.47141483,-12935.262115390491,-62.188760170146594
1,initial,8,-950723.47140232,-12935.262115220285,-62.18876016932829
1,initial,9,-950723.47140186,-12935.262115214025,-62.1887601692982
