Energy (eV),COHP,Int. COHP
-12.846923,0.0,0.0
-12.821888,0.0,0.0
-12.79699,0.0,0.0
-12.771955,0.0,0.0
-12.747056,0.0,0.0
-12.722022,0.0,0.0
-12.697123,0.0,0.0
-12.672224,0.0,0.0
-12.64719,0.0,0.0
-12.622291,0.0,0.0
-12.597256,0.0,0.0
-12.572358,0.0,0.0
-12.547323,0.0,0.0
-12.522425,0.0,0.0
-12.49739,0.0,0.0
-12.472491,0.0,0.0
-12.447593,0.0,0.0
-12.422558,0.0,0.0
-12.397659,0.0,0.0
-12.372625,0.0,0.0
-12.347726,0.0,0.0
-12.322691,0.0,0.0
-12.297793,0.0,0.0
-12.272894,0.0,0.0
-12.24786,0.0,0.0
-12.222961,0.0,0.0
-12.197926,0.0,0.0
-12.173028,0.0,0.0
-12.147993,0.0,0.0
-12.123094,0.0,0.0
-12.098196,0.0,0.0
-12.073161,0.0,0.0
-12.048262,0.0,0.0
-12.023228,0.0,0.0
-11.998329,0.0,0.0
-11.973294,0.0,0.0
-11.948396,0.0,0.0
-11.923361,0.0,0.0
-11.898463,0.0,0.0
-11.873564,0.0,0.0
-11.848529,0.0,0.0
-11.823631,0.0,0.0
-11.798596,0.0,0.0
-11.773697,0.0,0.0
-11.748663,0.0,0.0
-11.723764,0.0,0.0
-11.698865,0.0,0.0
-11.673831,0.0,0.0
-11.648932,0.0,0.0
-11.623898,0.0,0.0
-11.598999,0.0,0.0
-11.573964,0.0,0.0
-11.549066,0.0,0.0
-11.524031,0.0,0.0
-11.499132,0.0,0.0
-11.474234,0.0,0.0
-11.449199,0.0,0.0
-11.4243,0.0,0.0
-11.399266,0.0,0.0
-11.374367,0.0,0.0
-11.349332,0.0,0.0
-11.324434,0.0,0.0
-11.299535,0.0,0.0
-11.274501,0.0,0.0
-11.249602,0.0,0.0
-11.224567,0.0,0.0
-11.199669,0.0,0.0
-11.174634,0.0,0.0
-11.149735,0.0,0.0
-11.124837,0.0,0.0
-11.099802,0.0,0.0
-11.074904,0.0,0.0
-11.049869,0.0,0.0
-11.02497,0.0,0.0
-10.999936,0.0,0.0
-10.975037,0.0,0.0
-10.950002,0.0,0.0
-10.925104,0.0,0.0
-10.900205,0.0,0.0
-10.87517,0.0,0.0
-10.850272,0.130751,0.000831
-10.825237,0.244832,0.005668
-10.800338,0.332784,0.012796
-10.775304,0.383315,0.021794
-10.750405,0.456091,0.032255
-10.725507,0.577491,0.044825
-10.700472,0.530916,0.059052
-10.675573,0.536637,0.072707
-10.650539,0.513641,0.086366
-10.62564,0.961307,0.104474
-10.600605,0.762338,0.122896
-10.575707,0.962946,0.145128
-10.550808,1.32385,0.1738
-10.525773,1.215704,0.206127
-10.500875,0.554402,0.229718
-10.47584,0.229156,0.238893
-10.450942,0.0,0.241944
-10.425907,0.0,0.241944
-10.401008,0.0,0.241944
-10.375974,0.0,0.241944
-10.351075,0.0,0.241944
-10.326176,0.0,0.241944
-10.301142,0.221515,0.243845
-10.276243,0.856611,0.257652
-10.251208,2.111682,0.291636
-10.22631,2.687357,0.340013
-10.201275,1.314697,0.388538
-10.176376,1.631431,0.428781
-10.151478,1.180076,0.458724
-10.126443,1.23267,0.489162
-10.101545,1.257494,0.516487
-10.07651,1.139221,0.547951
-10.051611,1.474124,0.582656
-10.026577,1.247874,0.619197
-10.001678,1.442091,0.650778
-9.976779,1.875146,0.69127
-9.951745,2.623425,0.748686
-9.926846,3.079914,0.793023
-9.901811,2.994079,0.860924
-9.876913,3.028241,0.939259
-9.851878,4.378962,1.056646
-9.82698,4.092624,1.138434
-9.801945,3.878388,1.243127
-9.777046,2.746871,1.319626
-9.752148,1.574054,1.374463
-9.727113,4.57169,1.441123
-9.702214,3.467798,1.51636
-9.67718,4.936995,1.619442
-9.652281,1.991006,1.70915
-9.627246,4.744192,1.798285
-9.602348,5.787279,1.932946
-9.577449,4.004204,2.039543
-9.552414,0.0,2.077158
-9.527516,0.0,2.077158
-9.502481,0.0,2.077158
-9.477583,0.0,2.077158
-9.452548,0.0,2.077158
-9.427649,0.0,2.077158
-9.402751,0.0,2.077158
-9.377716,0.0,2.077158
-9.352817,3.762935,2.099147
-9.327783,4.465111,2.221068
-9.302884,0.0,2.33742
-9.277849,0.0,2.33742
-9.252951,0.0,2.33742
-9.227916,0.0,2.33742
-9.203018,0.0,2.33742
-9.178119,0.0,2.33742
-9.153084,0.0,2.33742
-9.128186,0.0,2.33742
-9.103151,0.0,2.33742
-9.078252,0.0,2.33742
-9.053218,0.0,2.33742
-9.028319,0.0,2.33742
-9.00342,0.0,2.33742
-8.978386,0.0,2.33742
-8.953487,0.0,2.33742
-8.928452,0.0,2.33742
-8.903554,0.0,2.33742
-8.878519,0.0,2.33742
-8.853621,0.0,2.33742
-8.828586,0.0,2.33742
-8.803687,0.0,2.33742
-8.778789,0.0,2.33742
-8.753754,0.0,2.33742
-8.728855,0.0,2.33742
-8.703821,0.0,2.33742
-8.678922,1.70063,2.351943
-8.653887,1.559996,2.421116
-8.628989,3.91278,2.469153
-8.60409,0.323709,2.511962
-8.579056,0.0,2.513057
-8.554157,0.0,2.513057
-8.529122,0.0,2.513057
-8.504224,0.0,2.513057
-8.479189,0.0,2.513057
-8.45429,0.0,2.513057
-8.429392,0.0,2.513057
-8.404357,0.0,2.513057
-8.379458,0.0,2.513057
-8.354424,0.0,2.513057
-8.329525,0.0,2.513057
-8.304491,0.0,2.513057
-8.279592,0.0,2.513057
-8.254557,0.0,2.513057
-8.229659,0.0,2.513057
-8.20476,0.0,2.513057
-8.179725,0.0,2.513057
-8.154827,0.0,2.513057
-8.129792,0.0,2.513057
-8.104893,0.0,2.513057
-8.079859,0.0,2.513057
-8.05496,0.0,2.513057
-8.030062,0.0,2.513057
-8.005027,0.0,2.513057
-7.980128,0.0,2.513057
-7.955094,0.0,2.513057
-7.930195,0.0,2.513057
-7.90516,0.0,2.513057
-7.880262,0.0,2.513057
-7.855363,0.0,2.513057
-7.830328,0.0,2.513057
-7.80543,0.0,2.513057
-7.780395,0.0,2.513057
-7.755496,0.0,2.513057
-7.730462,0.0,2.513057
-7.705563,0.0,2.513057
-7.680529,0.0,2.513057
-7.65563,0.0,2.513057
-7.630731,0.0,2.513057
-7.605697,0.0,2.513057
-7.580798,0.0,2.513057
-7.555763,0.0,2.513057
-7.530865,0.0,2.513057
-7.50583,0.0,2.513057
-7.480931,0.0,2.513057
-7.456033,0.0,2.513057
-7.430998,0.0,2.513057
-7.4061,0.0,2.513057
-7.381065,0.0,2.513057
-7.356166,0.0,2.513057
-7.331132,0.0,2.513057
-7.306233,0.0,2.513057
-7.281334,0.0,2.513057
-7.2563,0.0,2.513057
-7.231401,0.0,2.513057
-7.206366,0.0,2.513057
-7.181468,0.0,2.513057
-7.156433,0.0,2.513057
-7.131534,0.0,2.513057
-7.1065,0.0,2.513057
-7.081601,0.0,2.513057
-7.056703,0.0,2.513057
-7.031668,0.0,2.513057
-7.006769,0.0,2.513057
-6.981735,0.0,2.513057
-6.956836,0.0,2.513057
-6.931801,0.0,2.513057
-6.906903,0.0,2.513057
-6.882004,0.0,2.513057
-6.856969,0.0,2.513057
-6.832071,0.0,2.513057
-6.807036,0.0,2.513057
-6.782138,0.0,2.513057
-6.757103,0.0,2.513057
-6.732204,0.0,2.513057
-6.70717,0.0,2.513057
-6.682271,0.0,2.513057
-6.657372,0.0,2.513057
-6.632338,0.0,2.513057
-6.607439,0.0,2.513057
-6.582404,0.0,2.513057
-6.557506,0.0,2.513057
-6.532471,0.0,2.513057
-6.507573,0.0,2.513057
-6.482674,0.0,2.513057
-6.457639,0.0,2.513057
-6.432741,0.0,2.513057
-6.407706,0.0,2.513057
-6.382807,0.0,2.513057
-6.357773,0.0,2.513057
-6.332874,0.0,2.513057
-6.307975,0.0,2.513057
-6.282941,0.0,2.513057
-6.258042,0.0,2.513057
-6.233007,0.0,2.513057
-6.208109,0.0,2.513057
-6.183074,0.0,2.513057
-6.158176,0.0,2.513057
-6.133141,0.0,2.513057
-6.108242,0.143016,2.514675
-6.083344,0.258135,2.519892
-6.058309,0.371523,2.527747
-6.03341,0.900504,2.543731
-6.008376,1.692158,2.575887
-5.983477,1.317307,2.614967
-5.958442,0.883881,2.643111
-5.933544,0.016692,2.652766
-5.908645,0.441429,2.656909
-5.883611,0.878253,2.675818
-5.858712,1.032652,2.699823
-5.833677,1.17319,2.726679
-5.808779,0.637123,2.748224
-5.783744,0.406776,2.760992
-5.758845,0.271542,2.76939
-5.733947,0.156724,2.774753
-5.708912,0.036288,2.777454
-5.684013,0.0,2.777592
-5.658979,0.0,2.777592
-5.63408,0.0,2.777592
-5.609045,0.0,2.777592
-5.584147,0.0,2.777592
-5.559112,0.0,2.777592
-5.534214,0.0,2.777592
-5.509315,0.0,2.777592
-5.48428,0.0,2.777592
-5.459382,0.0,2.777592
-5.434347,0.0,2.777592
-5.409448,0.0,2.777592
-5.384414,0.0,2.777592
-5.359515,0.0,2.777592
-5.334616,0.0,2.777592
-5.309582,0.0,2.777592
-5.284683,0.0,2.777592
-5.259649,0.0,2.777592
-5.23475,0.0,2.777592
-5.209715,0.0,2.777592
-5.184817,0.0,2.777592
-5.159918,0.0,2.777592
-5.134883,0.0,2.777592
-5.109985,0.0,2.777592
-5.08495,0.0,2.777592
-5.060051,0.0,2.777592
-5.035017,0.0,2.777592
-5.010118,0.0,2.777592
-4.985083,0.0,2.777592
-4.960185,0.0,2.777592
-4.935286,0.0,2.777592
-4.910252,0.0,2.777592
-4.885353,0.357234,2.778366
-4.860318,1.406824,2.804924
-4.83542,2.066328,2.84748
-4.810385,2.721769,2.912372
-4.785486,2.661651,2.974709
-4.760588,1.473446,3.022532
-4.735553,0.825193,3.049747
-4.710654,0.554882,3.066843
-4.68562,2.002518,3.095958
-4.660721,3.62637,3.154785
-4.635687,3.800821,3.24754
-4.610788,4.546612,3.349061
-4.585753,5.929173,3.476572
-4.560855,4.329855,3.604968
-4.535956,4.405119,3.739503
-4.510921,5.043441,3.84075
-4.486023,4.418386,3.92531
-4.460988,3.484799,4.043025
-4.436089,5.962532,4.172795
-4.411055,6.138014,4.353679
-4.386156,3.919498,4.484053
-4.361258,5.834689,4.595062
-4.336223,3.76826,4.709979
-4.311324,2.023423,4.777642
-4.28629,2.795493,4.861231
-4.261391,3.5818,4.934442
-4.236356,3.555821,5.032608
-4.211458,3.103361,5.123699
-4.186559,2.316802,5.183158
-4.161524,2.658706,5.238293
-4.136626,2.730554,5.309273
-4.111591,1.837841,5.373701
-4.086693,2.071633,5.422896
-4.061658,2.570046,5.491509
-4.036759,2.561163,5.552867
-4.011725,3.191022,5.624673
-3.986826,3.915399,5.703932
-3.961927,3.186498,5.792815
-3.936893,2.272759,5.860632
-3.911994,2.896037,5.929866
-3.886959,3.135299,6.01017
-3.862061,2.824895,6.084857
-3.837026,2.653797,6.157395
-3.812127,3.105767,6.228248
-3.787229,2.719647,6.303355
-3.762194,3.253,6.381044
-3.737296,3.304825,6.457271
-3.712261,3.77139,6.531811
-3.687362,2.365404,6.606907
-3.662328,2.439959,6.686072
-3.637429,2.28709,6.751442
-3.61253,3.124415,6.808292
-3.587496,2.158025,6.858681
-3.562597,2.874488,6.926647
-3.537562,2.247213,6.987947
-3.512664,2.926823,7.041376
-3.487629,3.140265,7.130057
-3.462731,3.536465,7.211987
-3.437696,2.466847,7.298763
-3.412797,3.346563,7.37142
-3.387899,2.806076,7.451663
-3.362864,4.734595,7.531485
-3.337965,3.160214,7.619672
-3.312931,3.575285,7.698278
-3.288032,2.914613,7.782965
-3.262997,2.584886,7.86138
-3.238099,2.462611,7.929036
-3.2132,3.393224,8.014457
-3.188165,3.625576,8.100004
-3.163267,4.620107,8.189146
-3.138232,1.834583,8.28566
-3.113334,4.110253,8.361381
-3.088299,3.165626,8.449998
-3.0634,3.277591,8.543926
-3.038502,5.272359,8.645808
-3.013467,2.941968,8.746941
-2.988568,5.263313,8.854527
-2.963534,3.933768,8.978634
-2.938635,3.569855,9.06871
-2.9136,2.961598,9.159853
