Energy (eV),DOS,Intg. DOS
-14.2324,0.0,0.0
-14.215762,0.0,0.0
-14.199123,0.0,0.0
-14.182485,0.0,0.0
-14.165846,0.0,0.0
-14.149208,0.0,0.0
-14.132569,0.0,0.0
-14.115931,0.0,0.0
-14.099292,0.0,0.0
-14.082653,0.0,0.0
-14.066015,0.0,0.0
-14.049376,0.0,0.0
-14.032738,0.0,0.0
-14.016099,0.0,0.0
-13.999461,0.0,0.0
-13.982822,0.0,0.0
-13.966184,0.0,0.0
-13.949545,0.0,0.0
-13.932906,0.0,0.0
-13.916268,0.0,0.0
-13.899629,0.0,0.0
-13.882991,0.0,0.0
-13.866352,0.0,0.0
-13.849714,0.0,0.0
-13.833075,0.0,0.0
-13.816437,0.0,0.0
-13.799798,0.0,0.0
-13.783159,0.0,0.0
-13.766521,0.0,0.0
-13.749882,0.0,0.0
-13.733244,0.0,0.0
-13.716605,0.0,0.0
-13.699967,0.0,0.0
-13.683328,0.0,0.0
-13.66669,0.0,0.0
-13.650051,0.0,0.0
-13.633412,0.0,0.0
-13.616774,0.0,0.0
-13.600135,0.0,0.0
-13.583497,0.0,0.0
-13.566858,0.0,0.0
-13.55022,0.0,0.0
-13.533581,0.0,0.0
-13.516943,0.0,0.0
-13.500304,0.0,0.0
-13.483665,0.0,0.0
-13.467027,0.0,0.0
-13.450388,0.0,0.0
-13.43375,0.0,0.0
-13.417111,0.0,0.0
-13.400473,0.0,0.0
-13.383834,0.0,0.0
-13.367196,0.0,0.0
-13.350557,0.0,0.0
-13.333918,0.0,0.0
-13.31728,0.0,0.0
-13.300641,0.0,0.0
-13.284003,0.0,0.0
-13.267364,0.0,0.0
-13.250726,0.0,0.0
-13.234087,0.0,0.0
-13.217449,0.0,0.0
-13.20081,0.0,0.0
-13.184171,0.0,0.0
-13.167533,0.0,0.0
-13.150894,0.0,0.0
-13.134256,0.0,0.0
-13.117617,0.0,0.0
-13.100979,0.0,0.0
-13.08434,0.0,0.0
-13.067702,0.0,0.0
-13.051063,0.0,0.0
-13.034424,0.0,0.0
-13.017786,0.0,0.0
-13.001147,0.0,0.0
-12.984509,0.0,0.0
-12.96787,0.0,0.0
-12.951232,0.0,0.0
-12.934593,0.0,0.0
-12.917955,0.0,0.0
-12.901316,0.0,0.0
-12.884678,0.0,0.0
-12.868039,0.0,0.0
-12.8514,0.0,0.0
-12.834762,0.0,0.0
-12.818123,0.0,0.0
-12.801485,0.0,0.0
-12.784846,0.0,0.0
-12.768208,0.0,0.0
-12.751569,0.0,0.0
-12.734931,0.0,0.0
-12.718292,0.0,0.0
-12.701653,0.0,0.0
-12.685015,0.0,0.0
-12.668376,0.0,0.0
-12.651738,0.0,0.0
-12.635099,0.0,0.0
-12.618461,0.0,0.0
-12.601822,0.0,0.0
-12.585184,0.0,0.0
-12.568545,0.0,0.0
-12.551906,0.0,0.0
-12.535268,0.0,0.0
-12.518629,0.0,0.0
-12.501991,0.0,0.0
-12.485352,0.0,0.0
-12.468714,0.0,0.0
-12.452075,0.0,0.0
-12.435437,0.0,0.0
-12.418798,0.0,0.0
-12.402159,0.0,0.0
-12.385521,0.0,0.0
-12.368882,0.0,0.0
-12.352244,0.0,0.0
-12.335605,0.0,0.0
-12.318967,0.0,0.0
-12.302328,0.0,0.0
-12.28569,0.0,0.0
-12.269051,0.0,0.0
-12.252412,0.0,0.0
-12.235774,0.0,0.0
-12.219135,0.0,0.0
-12.202497,0.0,0.0
-12.185858,0.0,0.0
-12.16922,0.0,0.0
-12.152581,0.0,0.0
-12.135943,0.0,0.0
-12.119304,0.0,0.0
-12.102665,0.0,0.0
-12.086027,0.0,0.0
-12.069388,0.0,0.0
-12.05275,0.0,0.0
-12.036111,0.0,0.0
-12.019473,0.0,0.0
-12.002834,0.0,0.0
-11.986196,0.0,0.0
-11.969557,0.0,0.0
-11.952918,0.0,0.0
-11.93628,0.0,0.0
-11.919641,0.0,0.0
-11.903003,0.0,0.0
-11.886364,0.0,0.0
-11.869726,0.0,0.0
-11.853087,0.0,0.0
-11.836449,0.0,0.0
-11.81981,0.0,0.0
-11.803171,0.0,0.0
-11.786533,0.0,0.0
-11.769894,0.0,0.0
-11.753256,0.0,0.0
-11.736617,0.0,0.0
-11.719979,0.0,0.0
-11.70334,0.0,0.0
-11.686702,0.0,0.0
-11.670063,0.0,0.0
-11.653424,0.0,0.0
-11.636786,0.0,0.0
-11.620147,0.0,0.0
-11.603509,0.0,0.0
-11.58687,0.0,0.0
-11.570232,0.0,0.0
-11.553593,0.0,0.0
-11.536955,0.0,0.0
-11.520316,0.0,0.0
-11.503677,0.0,0.0
-11.487039,0.0,0.0
-11.4704,0.0,0.0
-11.453762,0.0,0.0
-11.437123,0.0,0.0
-11.420485,0.0,0.0
-11.403846,0.0,0.0
-11.387208,0.0,0.0
-11.370569,0.0,0.0
-11.35393,0.0,0.0
-11.337292,0.0,0.0
-11.320653,0.0,0.0
-11.304015,0.0,0.0
-11.287376,0.0,0.0
-11.270738,0.0,0.0
-11.254099,0.0,0.0
-11.237461,0.0,0.0
-11.220822,0.0,0.0
-11.204183,0.0,0.0
-11.187545,0.0,0.0
-11.170906,0.0,0.0
-11.154268,0.0,0.0
-11.137629,0.0,0.0
-11.120991,0.0,0.0
-11.104352,0.0,0.0
-11.087714,0.0,0.0
-11.071075,0.0,0.0
-11.054436,0.0,0.0
-11.037798,0.0,0.0
-11.021159,0.0,0.0
-11.004521,0.0,0.0
-10.987882,0.0,0.0
-10.971244,0.0,0.0
-10.954605,0.0,0.0
-10.937967,0.0,0.0
-10.921328,0.0,0.0
-10.904689,0.0,0.0
-10.888051,0.0,0.0
-10.871412,0.0,0.0
-10.854774,0.127208,0.00037
-10.838135,0.317085,0.004405
-10.821497,0.437992,0.010977
-10.804858,0.554884,0.019203
-10.78822,0.664462,0.029446
-10.771581,0.756427,0.041209
-10.754942,0.880876,0.054797
-10.738304,1.029242,0.070494
-10.721665,1.318504,0.090009
-10.705027,1.242517,0.111576
-10.688388,1.36887,0.132915
-10.67175,1.439748,0.15628
-10.655111,1.441546,0.181094
-10.638473,1.9033,0.206337
-10.621834,2.690713,0.250675
-10.605196,2.373903,0.288379
-10.588557,3.64064,0.336183
-10.571918,4.330517,0.400089
-10.55528,6.104816,0.483758
-10.538641,6.945115,0.591291
-10.522003,6.905817,0.702644
-10.505364,4.115479,0.797608
-10.488726,2.288671,0.849902
-10.472087,1.348233,0.878829
-10.455449,0.210259,0.89438
-10.43881,0.0,0.894591
-10.422171,0.0,0.894591
-10.405533,0.0,0.894591
-10.388894,0.0,0.894591
-10.372256,0.0,0.894591
-10.355617,0.0,0.894591
-10.338979,0.0,0.894591
-10.32234,0.0,0.894591
-10.305702,0.078401,0.89506
-10.289063,0.321319,0.897956
-10.272424,0.634674,0.905934
-10.255786,1.254136,0.921039
-10.239147,1.261815,0.944988
-10.222509,2.893302,0.976857
-10.20587,1.40699,1.009127
-10.189232,2.096748,1.03985
-10.172593,2.256383,1.077911
-10.155955,1.493974,1.106455
-10.139316,1.613795,1.133331
-10.122677,1.564817,1.160153
-10.106039,1.528354,1.184476
-10.0894,1.535869,1.210516
-10.072762,1.404278,1.236215
-10.056123,1.894375,1.265504
-10.039485,1.432919,1.295125
-10.022846,1.226598,1.319641
-10.006208,1.5568,1.341177
-9.989569,1.685254,1.368803
-9.97293,2.163922,1.399534
-9.956292,2.769814,1.443132
-9.939653,1.218896,1.473496
-9.923015,3.338788,1.512287
-9.906376,2.343448,1.557856
-9.889738,3.275791,1.611418
-9.873099,3.289225,1.675828
-9.856461,12.540974,1.794211
-9.839822,2.906429,1.875914
-9.823183,5.276943,1.964176
-9.806545,3.457077,2.063323
-9.789906,5.158063,2.135045
-9.773268,4.901813,2.200911
-9.756629,1.085088,2.248799
-9.739991,2.121506,2.273676
-9.723352,3.064286,2.324715
-9.706714,3.055893,2.35443
-9.690075,1.806171,2.387121
-9.673436,1.779757,2.420379
-9.656798,0.96528,2.445837
-9.640159,0.971301,2.460348
-9.623521,1.205024,2.478264
-9.606882,1.063566,2.492846
-9.590244,1.222031,2.511381
-9.573605,0.979873,2.529866
-9.556967,0.24587,2.538436
-9.540328,0.0,2.538672
-9.523689,0.0,2.538672
-9.507051,0.0,2.538672
-9.490412,0.0,2.538672
-9.473774,0.0,2.538672
-9.457135,0.0,2.538672
-9.440497,0.0,2.538672
-9.423858,0.0,2.538672
-9.40722,0.0,2.538672
-9.390581,0.0,2.538672
-9.373942,0.0,2.538672
-9.357304,0.207657,2.539569
-9.340665,0.278889,2.547077
-9.324027,0.276327,2.55004
-9.307388,8.5e-05,2.553805
-9.29075,0.0,2.553805
-9.274111,0.0,2.553805
-9.257473,0.0,2.553805
-9.240834,0.0,2.553805
-9.224195,0.0,2.553805
-9.207557,0.0,2.553805
-9.190918,0.0,2.553805
-9.17428,0.0,2.553805
-9.157641,0.0,2.553805
-9.141003,0.0,2.553805
-9.124364,0.0,2.553805
-9.107726,0.0,2.553805
-9.091087,0.0,2.553805
-9.074448,0.0,2.553805
-9.05781,0.0,2.553805
-9.041171,0.0,2.553805
-9.024533,0.0,2.553805
-9.007894,0.0,2.553805
-8.991256,0.0,2.553805
-8.974617,0.0,2.553805
-8.957979,0.0,2.553805
-8.94134,0.0,2.553805
-8.924701,0.0,2.553805
-8.908063,0.0,2.553805
-8.891424,0.0,2.553805
-8.874786,0.0,2.553805
-8.858147,0.0,2.553805
-8.841509,0.0,2.553805
-8.82487,0.0,2.553805
-8.808232,0.0,2.553805
-8.791593,0.0,2.553805
-8.774954,0.0,2.553805
-8.758316,0.0,2.553805
-8.741677,0.0,2.553805
-8.725039,0.0,2.553805
-8.7084,0.0,2.553805
-8.691762,0.000533,2.553807
-8.675123,0.009246,2.553878
-8.658485,0.016117,2.554145
-8.641846,0.014797,2.554284
-8.625207,0.036064,2.554826
-8.608569,0.014093,2.555198
-8.59193,0.0,2.555292
-8.575292,0.0,2.555292
-8.558653,0.0,2.555292
-8.542015,0.0,2.555292
-8.525376,0.0,2.555292
-8.508738,0.0,2.555292
-8.492099,0.0,2.555292
-8.47546,0.0,2.555292
-8.458822,0.0,2.555292
-8.442183,0.0,2.555292
-8.425545,0.0,2.555292
-8.408906,0.0,2.555292
-8.392268,0.0,2.555292
-8.375629,0.0,2.555292
-8.358991,0.0,2.555292
-8.342352,0.0,2.555292
-8.325714,0.0,2.555292
-8.309075,0.0,2.555292
-8.292436,0.0,2.555292
-8.275798,0.0,2.555292
-8.259159,0.0,2.555292
-8.242521,0.0,2.555292
-8.225882,0.0,2.555292
-8.209244,0.0,2.555292
-8.192605,0.0,2.555292
-8.175967,0.0,2.555292
-8.159328,0.0,2.555292
-8.142689,0.0,2.555292
-8.126051,0.0,2.555292
-8.109412,0.0,2.555292
-8.092774,0.0,2.555292
-8.076135,0.0,2.555292
-8.059497,0.0,2.555292
-8.042858,0.0,2.555292
-8.02622,0.0,2.555292
-8.009581,0.0,2.555292
-7.992942,0.0,2.555292
-7.976304,0.0,2.555292
-7.959665,0.0,2.555292
-7.943027,0.0,2.555292
-7.926388,0.0,2.555292
-7.90975,0.0,2.555292
-7.893111,0.0,2.555292
-7.876473,0.0,2.555292
-7.859834,0.0,2.555292
-7.843195,0.0,2.555292
-7.826557,0.0,2.555292
-7.809918,0.0,2.555292
-7.79328,0.0,2.555292
-7.776641,0.0,2.555292
-7.760003,0.0,2.555292
-7.743364,0.0,2.555292
-7.726726,0.0,2.555292
-7.710087,0.0,2.555292
-7.693448,0.0,2.555292
-7.67681,0.0,2.555292
-7.660171,0.0,2.555292
-7.643533,0.0,2.555292
-7.626894,0.0,2.555292
-7.610256,0.0,2.555292
-7.593617,0.0,2.555292
-7.576979,0.0,2.555292
