n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950713.77303353,-12935.130162085474,-62.188125779257085
1,initial,1,-950672.80095875,-12934.572708164722,-62.18544571233039
1,initial,2,-950688.43506684,-12934.785421211329,-62.18646837120831
1,initial,3,-950690.06294205,-12934.807569599547,-62.18657485384397
1,initial,4,-950675.95281531,-12934.615591392054,-62.185651881692564
1,initial,5,-950684.74725574,-12934.735245945181,-62.186227143967216
1,initial,6,-950701.29486914,-12934.960387874617,-62.187309557089506
1,initial,7,-950712.92024442,-12935.118559289287,-62.18806999658311
1,initial,8,-950717.95129545,-12935.187010280293,-62.188399087886026
1,initial,9,-950719.43219218,-12935.20715892282,-62.18849595635971
1,initial,10,-950721.75213266,-12935.238723346236,-62.188647708395365
1,initial,11,-950723.00747791,-12935.255803202095,-62.188729823086994
1,initial,12,-950723.22202104,-12935.258722212411,-62.18874385679044
1,initial,13,-950723.25855421,-12935.259219271906,-62.18874624649955
1,initial,14,-950723.25520093,-12935.259173648174,-62.18874602715468
1,initial,15,-950723.25888612,-12935.259223787778,-62.18874626821047
1,initial,16,-950723.25900481,-12935.259225402639,-62.188746275974225
1,initial,17,-950723.25892777,-12935.259224354453,-62.18874627093487
1,initial,18,-950723.25914181,-12935.259227266619,-62.18874628493567
1,initial,19,-950723.25902609,-12935.259225692167,-62.188746277366185
1,initial,20,-950723.25904381,-12935.25922593326,-62.18874627852529
1,initial,21,-950723.25904541,-12935.259225955027,-62.18874627862994
