k,Energy (eV)
0.0,-10.675926
0.0261,-10.688172
0.05219,-10.699057
0.07828,-10.709941
0.10438,-10.720826
0.13047,-10.73035
0.15656,-10.741235
0.18266,-10.750759
0.20875,-10.761643
0.23485,-10.771168
0.26094,-10.77933
0.28703,-10.788855
0.31313,-10.797018
0.33922,-10.805182
0.36531,-10.811984
0.39141,-10.820148
0.4175,-10.826951
0.4436,-10.832394
0.46969,-10.839196
0.49578,-10.844639
0.52188,-10.848721
0.54797,-10.852802
0.57406,-10.856884
0.60016,-10.860966
0.62625,-10.863687
0.65235,-10.866407
0.67844,-10.867768
0.70453,-10.869129
0.73063,-10.870489
0.75672,-10.870489
,
,
0.0,-10.675926
0.0261,-10.665042
0.05219,-10.654158
0.07828,-10.643272
0.10438,-10.632388
0.13047,-10.628306
0.15656,-10.628306
0.18266,-10.626945
0.20875,-10.625586
0.23485,-10.624225
0.26094,-10.621503
0.28703,-10.620143
0.31313,-10.617421
0.33922,-10.614701
0.36531,-10.611979
0.39141,-10.609259
0.4175,-10.606537
0.4436,-10.603816
0.46969,-10.601095
0.49578,-10.598373
0.52188,-10.595653
0.54797,-10.592931
0.57406,-10.59021
0.60016,-10.587489
0.62625,-10.586129
0.65235,-10.583407
0.67844,-10.582047
0.70453,-10.580687
0.73063,-10.580687
0.75672,-10.580687
,
,
0.0,-10.628306
0.0261,-10.628306
0.05219,-10.629667
0.07828,-10.629667
0.10438,-10.629667
0.13047,-10.621503
0.15656,-10.616061
0.18266,-10.61334
0.20875,-10.609259
0.23485,-10.605177
0.26094,-10.601095
0.28703,-10.597013
0.31313,-10.592931
0.33922,-10.587489
0.36531,-10.582047
0.39141,-10.576605
0.4175,-10.571162
0.4436,-10.56572
0.46969,-10.560278
0.49578,-10.554835
0.52188,-10.548032
0.54797,-10.54259
0.57406,-10.537148
0.60016,-10.531706
0.62625,-10.527624
0.65235,-10.522182
0.67844,-10.51946
0.70453,-10.516739
0.73063,-10.514017
0.75672,-10.514017
,
,
0.0,-10.628306
0.0261,-10.626945
0.05219,-10.625586
0.07828,-10.624225
0.10438,-10.621503
0.13047,-10.618782
0.15656,-10.61062
0.18266,-10.599734
0.20875,-10.59021
0.23485,-10.580687
0.26094,-10.571162
0.28703,-10.562999
0.31313,-10.554835
0.33922,-10.548032
0.36531,-10.541229
0.39141,-10.535787
0.4175,-10.530345
0.4436,-10.524902
0.46969,-10.520821
0.49578,-10.5181
0.52188,-10.515378
0.54797,-10.512657
0.57406,-10.511296
0.60016,-10.509935
0.62625,-10.508575
0.65235,-10.507215
0.67844,-10.505855
0.70453,-10.505855
0.73063,-10.505855
0.75672,-10.505855
,
,
0.0,-10.255507
0.0261,-10.254148
0.05219,-10.254148
0.07828,-10.252787
0.10438,-10.254148
0.13047,-10.258229
0.15656,-10.262311
0.18266,-10.265031
0.20875,-10.267753
0.23485,-10.269113
0.26094,-10.270473
0.28703,-10.271834
0.31313,-10.271834
0.33922,-10.270473
0.36531,-10.269113
0.39141,-10.275916
0.4175,-10.28544
0.4436,-10.293603
0.46969,-10.303128
0.49578,-10.311292
0.52188,-10.319454
0.54797,-10.327618
0.57406,-10.335782
0.60016,-10.342585
0.62625,-10.349387
0.65235,-10.35483
0.67844,-10.358912
0.70453,-10.362993
0.73063,-10.365715
0.75672,-10.365715
,
,
0.0,-10.255507
0.0261,-10.254148
0.05219,-10.254148
0.07828,-10.252787
0.10438,-10.252787
0.13047,-10.250065
0.15656,-10.248705
0.18266,-10.245983
0.20875,-10.243262
0.23485,-10.240541
0.26094,-10.23782
0.28703,-10.241901
0.31313,-10.250065
0.33922,-10.258229
0.36531,-10.267753
0.39141,-10.266392
0.4175,-10.262311
0.4436,-10.258229
0.46969,-10.254148
0.49578,-10.250065
0.52188,-10.244622
0.54797,-10.243262
0.57406,-10.247344
0.60016,-10.251426
0.62625,-10.255507
0.65235,-10.258229
0.67844,-10.26095
0.70453,-10.262311
0.73063,-10.263671
0.75672,-10.263671
,
,
0.0,-10.231017
0.0261,-10.23782
0.05219,-10.243262
0.07828,-10.248705
0.10438,-10.252787
0.13047,-10.250065
0.15656,-10.248705
0.18266,-10.245983
0.20875,-10.243262
0.23485,-10.240541
0.26094,-10.23782
0.28703,-10.235099
0.31313,-10.231017
0.33922,-10.226935
0.36531,-10.222854
0.39141,-10.218772
0.4175,-10.217411
0.4436,-10.222854
0.46969,-10.228296
0.49578,-10.233739
0.52188,-10.23782
0.54797,-10.239181
0.57406,-10.233739
0.60016,-10.229657
0.62625,-10.224215
0.65235,-10.220132
0.67844,-10.217411
0.70453,-10.21469
0.73063,-10.213329
0.75672,-10.211968
,
,
0.0,-10.231017
0.0261,-10.225574
0.05219,-10.218772
0.07828,-10.211968
0.10438,-10.205167
0.13047,-10.198363
0.15656,-10.203806
0.18266,-10.210608
0.20875,-10.217411
0.23485,-10.225574
0.26094,-10.233739
0.28703,-10.235099
0.31313,-10.231017
0.33922,-10.226935
0.36531,-10.222854
0.39141,-10.218772
0.4175,-10.21469
0.4436,-10.210608
0.46969,-10.206527
0.49578,-10.201084
0.52188,-10.197002
0.54797,-10.192921
0.57406,-10.188839
0.60016,-10.184757
0.62625,-10.182036
0.65235,-10.179316
0.67844,-10.176594
0.70453,-10.175234
0.73063,-10.173873
0.75672,-10.172512
,
,
0.0,-10.176594
0.0261,-10.179316
0.05219,-10.182036
0.07828,-10.187478
0.10438,-10.19156
0.13047,-10.197002
0.15656,-10.1902
0.18266,-10.183396
0.20875,-10.179316
0.23485,-10.183396
0.26094,-10.187478
0.28703,-10.19156
0.31313,-10.195642
0.33922,-10.201084
0.36531,-10.206527
0.39141,-10.211968
0.4175,-10.21469
0.4436,-10.210608
0.46969,-10.206527
0.49578,-10.201084
0.52188,-10.197002
0.54797,-10.192921
0.57406,-10.188839
0.60016,-10.184757
0.62625,-10.182036
0.65235,-10.179316
0.67844,-10.176594
0.70453,-10.175234
0.73063,-10.173873
0.75672,-10.172512
,
,
0.0,-10.176594
0.0261,-10.173873
0.05219,-10.172512
0.07828,-10.171152
0.10438,-10.171152
0.13047,-10.172512
0.15656,-10.173873
0.18266,-10.176594
0.20875,-10.175234
0.23485,-10.16843
0.26094,-10.160267
0.28703,-10.153464
0.31313,-10.145301
0.33922,-10.138497
0.36531,-10.131695
0.39141,-10.124892
