Energy (eV),COHP,Int. COHP
-12.141136,0.0,0.0
-12.122904,0.0,0.0
-12.104808,0.0,0.0
-12.086576,0.0,0.0
-12.068481,0.0,0.0
-12.050385,0.0,0.0
-12.032153,0.0,0.0
-12.014057,0.0,0.0
-11.995826,0.0,0.0
-11.97773,0.0,0.0
-11.959634,0.0,0.0
-11.941402,0.0,0.0
-11.923307,0.0,0.0
-11.905075,0.0,0.0
-11.886979,0.0,0.0
-11.868748,0.0,0.0
-11.850652,0.0,0.0
-11.832556,0.0,0.0
-11.814324,0.0,0.0
-11.796229,0.0,0.0
-11.777997,0.0,0.0
-11.759901,0.0,0.0
-11.741805,0.0,0.0
-11.723574,0.0,0.0
-11.705478,0.0,0.0
-11.687246,0.0,0.0
-11.66915,0.0,0.0
-11.651055,0.0,0.0
-11.632823,0.0,0.0
-11.614727,0.0,0.0
-11.596495,0.0,0.0
-11.5784,0.0,0.0
-11.560304,0.0,0.0
-11.542072,0.0,0.0
-11.523977,0.0,0.0
-11.505745,0.0,0.0
-11.487649,0.0,0.0
-11.469553,0.0,0.0
-11.451322,0.0,0.0
-11.433226,0.0,0.0
-11.414994,0.0,0.0
-11.396898,0.0,0.0
-11.378667,0.0,0.0
-11.360571,0.0,0.0
-11.342475,0.0,0.0
-11.324243,0.0,0.0
-11.306148,0.0,0.0
-11.287916,0.0,0.0
-11.26982,0.0,0.0
-11.251724,0.0,0.0
-11.233493,0.0,0.0
-11.215397,0.0,0.0
-11.197165,0.0,0.0
-11.17907,0.0,0.0
-11.160974,0.0,0.0
-11.142742,0.0,0.0
-11.124646,0.0,0.0
-11.106415,0.0,0.0
-11.088319,0.0,0.0
-11.070223,0.0,0.0
-11.051991,0.0,0.0
-11.033896,0.0,0.0
-11.015664,0.0,0.0
-10.997568,0.0,0.0
-10.979472,0.0,0.0
-10.961241,0.0,0.0
-10.943145,0.0,0.0
-10.924913,0.0,0.0
-10.906817,0.0,0.0
-10.888586,0.0,0.0
-10.87049,0.0,0.0
-10.852394,0.0,0.0
-10.834162,0.0,0.0
-10.816067,0.0,0.0
-10.797835,0.0,0.0
-10.779739,0.0,0.0
-10.761644,0.0,0.0
-10.743412,0.037159,0.000331
-10.725316,0.066596,0.001288
-10.707084,0.081795,0.002609
-10.688989,0.10022,0.00428
-10.670893,0.11268,0.006213
-10.652661,0.13163,0.00843
-10.634565,0.15558,0.010988
-10.616334,0.19075,0.014196
-10.598238,0.17362,0.01743
-10.580142,0.18398,0.020749
-10.56191,0.19374,0.024169
-10.543815,0.16681,0.027368
-10.525583,0.28678,0.03173
-10.507487,0.22575,0.036691
-10.489392,0.32878,0.041404
-10.47116,0.34501,0.047619
-10.453064,0.34788,0.053887
-10.434832,0.35401,0.060149
-10.416737,0.32571,0.06632
-10.398505,0.28107,0.071802
-10.380409,0.22505,0.076369
-10.362313,0.13238,0.079387
