Energy (eV),DOS,Intg. DOS
-13.519823,0.0,0.0
-13.503185,0.0,0.0
-13.486546,0.0,0.0
-13.469908,0.0,0.0
-13.453269,0.0,0.0
-13.436631,0.0,0.0
-13.419992,0.0,0.0
-13.403354,0.0,0.0
-13.386715,0.0,0.0
-13.370076,0.0,0.0
-13.353438,0.0,0.0
-13.336799,0.0,0.0
-13.320161,0.0,0.0
-13.303522,0.0,0.0
-13.286884,0.0,0.0
-13.270245,0.0,0.0
-13.253607,0.0,0.0
-13.236968,0.0,0.0
-13.220329,0.0,0.0
-13.203691,0.0,0.0
-13.187052,0.0,0.0
-13.170414,0.0,0.0
-13.153775,0.0,0.0
-13.137137,0.0,0.0
-13.120498,0.0,0.0
-13.10386,0.0,0.0
-13.087221,0.0,0.0
-13.070582,0.0,0.0
-13.053944,0.0,0.0
-13.037305,0.0,0.0
-13.020667,0.0,0.0
-13.004028,0.0,0.0
-12.98739,0.0,0.0
-12.970751,0.0,0.0
-12.954113,0.0,0.0
-12.937474,0.0,0.0
-12.920835,0.0,0.0
-12.904197,0.0,0.0
-12.887558,0.0,0.0
-12.87092,0.0,0.0
-12.854281,0.0,0.0
-12.837643,0.0,0.0
-12.821004,0.0,0.0
-12.804366,0.0,0.0
-12.787727,0.0,0.0
-12.771089,0.0,0.0
-12.75445,0.0,0.0
-12.737811,0.0,0.0
-12.721173,0.0,0.0
-12.704534,0.0,0.0
-12.687896,0.0,0.0
-12.671257,0.0,0.0
-12.654619,0.0,0.0
-12.63798,0.0,0.0
-12.621342,0.0,0.0
-12.604703,0.0,0.0
-12.588064,0.0,0.0
-12.571426,0.0,0.0
-12.554787,0.0,0.0
-12.538149,0.0,0.0
-12.52151,0.0,0.0
-12.504872,0.0,0.0
-12.488233,0.0,0.0
-12.471595,0.0,0.0
-12.454956,0.0,0.0
-12.438317,0.0,0.0
-12.421679,0.0,0.0
-12.40504,0.0,0.0
-12.388402,0.0,0.0
-12.371763,0.0,0.0
-12.355125,0.0,0.0
-12.338486,0.0,0.0
-12.321848,0.0,0.0
-12.305209,0.0,0.0
-12.28857,0.0,0.0
-12.271932,0.0,0.0
-12.255293,0.0,0.0
-12.238655,0.0,0.0
-12.222016,0.0,0.0
-12.205378,0.0,0.0
-12.188739,0.0,0.0
-12.172101,0.0,0.0
-12.155462,0.0,0.0
-12.138823,0.0,0.0
-12.122185,0.0,0.0
-12.105546,0.0,0.0
-12.088908,0.0,0.0
-12.072269,0.0,0.0
-12.055631,0.0,0.0
-12.038992,0.0,0.0
-12.022354,0.0,0.0
-12.005715,0.0,0.0
-11.989076,0.0,0.0
-11.972438,0.0,0.0
-11.955799,0.0,0.0
-11.939161,0.0,0.0
-11.922522,0.0,0.0
-11.905884,0.0,0.0
-11.889245,0.0,0.0
-11.872607,0.0,0.0
-11.855968,0.0,0.0
-11.839329,0.0,0.0
-11.822691,0.0,0.0
-11.806052,0.0,0.0
-11.789414,0.0,0.0
-11.772775,0.0,0.0
-11.756137,0.0,0.0
-11.739498,0.0,0.0
-11.72286,0.0,0.0
-11.706221,0.0,0.0
-11.689582,0.0,0.0
-11.672944,0.0,0.0
-11.656305,0.0,0.0
-11.639667,0.0,0.0
-11.623028,0.0,0.0
-11.60639,0.0,0.0
-11.589751,0.0,0.0
-11.573113,0.0,0.0
-11.556474,0.0,0.0
-11.539835,0.0,0.0
-11.523197,0.0,0.0
-11.506558,0.0,0.0
-11.48992,0.0,0.0
-11.473281,0.0,0.0
-11.456643,0.0,0.0
-11.440004,0.0,0.0
-11.423366,0.0,0.0
-11.406727,0.0,0.0
-11.390088,0.0,0.0
-11.37345,0.0,0.0
-11.356811,0.0,0.0
-11.340173,0.0,0.0
-11.323534,0.0,0.0
-11.306896,0.0,0.0
-11.290257,0.0,0.0
-11.273619,0.0,0.0
-11.25698,0.0,0.0
-11.240341,0.0,0.0
-11.223703,0.0,0.0
-11.207064,0.0,0.0
-11.190426,0.0,0.0
-11.173787,0.0,0.0
-11.157149,0.0,0.0
-11.14051,0.0,0.0
-11.123872,0.0,0.0
-11.107233,0.0,0.0
-11.090594,0.0,0.0
-11.073956,0.0,0.0
-11.057317,0.0,0.0
-11.040679,0.0,0.0
-11.02404,0.0,0.0
-11.007402,0.0,0.0
-10.990763,0.0,0.0
-10.974125,0.0,0.0
-10.957486,0.0,0.0
-10.940847,0.0,0.0
-10.924209,0.0,0.0
-10.90757,0.0,0.0
-10.890932,0.0,0.0
-10.874293,0.0,0.0
-10.857655,0.0,0.0
-10.841016,0.0,0.0
-10.824378,0.0,0.0
-10.807739,0.0,0.0
-10.7911,0.0,0.0
-10.774462,0.0,0.0
-10.757823,0.000753,0.0
-10.741185,0.028739,0.0003
-10.724546,0.046743,0.00095
-10.707908,0.055347,0.001784
-10.691269,0.065914,0.002805
-10.674631,0.071797,0.003954
-10.657992,0.080559,0.005217
-10.641353,0.088146,0.006628
-10.624715,0.107743,0.00825
-10.608076,0.103029,0.010075
-10.591438,0.100229,0.011749
-10.574799,0.101441,0.013469
-10.558161,0.100557,0.015209
-10.541522,0.092468,0.016751
-10.524884,0.148623,0.018951
-10.508245,0.109537,0.021237
-10.491606,0.141703,0.023207
-10.474968,0.149591,0.025693
-10.458329,0.146625,0.028141
-10.441691,0.147094,0.030577
-10.425052,0.148493,0.033072
-10.408414,0.135551,0.035483
-10.391775,0.117317,0.037654
-10.375137,0.079167,0.039366
-10.358498,0.051281,0.040456
-10.34186,0.055053,0.041326
-10.325221,0.085522,0.042479
-10.308582,0.148472,0.044493
-10.291944,0.167149,0.047284
-10.275305,0.132111,0.049907
-10.258667,0.118779,0.051809
-10.242028,0.139256,0.054031
-10.22539,0.156789,0.056439
-10.208751,0.123424,0.058851
-10.192113,0.121192,0.060849
-10.175474,0.145832,0.06309
-10.158835,0.130457,0.065437
-10.142197,0.143875,0.067235
-10.125558,0.141458,0.069881
-10.10892,0.13374,0.072171
-10.092281,0.144004,0.074481
-10.075643,0.169041,0.077052
-10.059004,0.156578,0.079506
-10.042366,0.187083,0.082529
-10.025727,0.224949,0.085937
-10.009088,0.177234,0.089381
-9.99245,0.125693,0.09176
-9.975811,0.150565,0.094164
-9.959173,0.184322,0.096744
-9.942534,0.2367,0.100295
-9.925896,0.331006,0.104929
-9.909257,0.266931,0.110097
-9.892619,0.330843,0.114706
-9.87598,0.243411,0.119684
-9.859341,0.367777,0.125591
-9.842703,0.472587,0.132224
-9.826064,0.540474,0.140586
-9.809426,0.526721,0.15109
-9.792787,0.444717,0.158141
-9.776149,0.608548,0.164627
-9.75951,0.36672,0.176321
-9.742872,0.83162,0.184931
-9.726233,0.472263,0.196053
-9.709594,0.913911,0.21168
-9.692956,0.793334,0.22231
-9.676317,0.223664,0.232493
-9.659679,0.0,0.234103
-9.64304,0.383848,0.238116
-9.626402,0.497455,0.244786
-9.609763,1.19028,0.254524
-9.593125,1.131935,0.27804
-9.576486,1.037318,0.28671
-9.559847,1.143452,0.302836
-9.543209,0.985949,0.318826
-9.52657,0.124491,0.326974
-9.509932,0.591543,0.33215
-9.493293,0.643062,0.348129
-9.476655,0.710367,0.371498
-9.460016,1.534516,0.385984
-9.443378,1.162425,0.409143
-9.426739,0.346007,0.419546
-9.4101,0.228054,0.424155
-9.393462,2.257325,0.440379
-9.376823,1.95043,0.469039
-9.360185,1.90105,0.500673
-9.343546,1.689875,0.524829
-9.326908,2.057133,0.54766
-9.310269,2.220468,0.577281
-9.293631,4.273992,0.614969
-9.276992,0.0,0.632526
-9.260353,0.0,0.632526
-9.243715,0.0,0.632526
-9.227076,0.0,0.632526
