Energy (eV),COHP,Int. COHP
-12.331916,0.0,0.0
-12.311507,0.0,0.0
-12.291099,0.0,0.0
-12.27069,0.0,0.0
-12.250281,0.0,0.0
-12.229737,0.0,0.0
-12.209328,0.0,0.0
-12.188919,0.0,0.0
-12.16851,0.0,0.0
-12.148102,0.0,0.0
-12.127693,0.0,0.0
-12.107284,0.0,0.0
-12.086876,0.0,0.0
-12.066467,0.0,0.0
-12.046058,0.0,0.0
-12.02565,0.0,0.0
-12.005241,0.0,0.0
-11.984696,0.0,0.0
-11.964287,0.0,0.0
-11.943879,0.0,0.0
-11.92347,0.0,0.0
-11.903061,0.0,0.0
-11.882653,0.0,0.0
-11.862244,0.0,0.0
-11.841835,0.0,0.0
-11.821427,0.0,0.0
-11.801018,0.0,0.0
-11.780609,0.0,0.0
-11.7602,0.0,0.0
-11.739656,0.0,0.0
-11.719247,0.0,0.0
-11.698838,0.0,0.0
-11.67843,0.0,0.0
-11.658021,0.0,0.0
-11.637612,0.0,0.0
-11.617203,0.0,0.0
-11.596795,0.0,0.0
-11.576386,0.0,0.0
-11.555977,0.0,0.0
-11.535569,0.0,0.0
-11.51516,0.0,0.0
-11.494615,0.0,0.0
-11.474207,0.0,0.0
-11.453798,0.0,0.0
-11.433389,0.0,0.0
-11.41298,0.0,0.0
-11.392572,0.0,0.0
-11.372163,0.0,0.0
-11.351754,0.0,0.0
-11.331346,0.0,0.0
-11.310937,0.0,0.0
-11.290528,0.0,0.0
-11.27012,0.0,0.0
-11.249575,0.0,0.0
-11.229166,0.0,0.0
-11.208757,0.0,0.0
-11.188349,0.0,0.0
-11.16794,0.0,0.0
-11.147531,0.0,0.0
-11.127123,0.0,0.0
-11.106714,0.0,0.0
-11.086305,0.0,0.0
-11.065896,0.0,0.0
-11.045488,0.0,0.0
-11.025079,0.0,0.0
-11.004534,0.0,0.0
-10.984126,0.0,0.0
-10.963717,0.0,0.0
-10.943308,0.0,0.0
-10.9229,0.0,0.0
-10.902491,0.0,0.0
-10.882082,0.0,0.0
-10.861673,0.0,0.0
-10.841265,0.0,0.0
-10.820856,0.0,0.0
-10.800447,0.0,0.0
-10.780039,0.0,0.0
-10.759494,0.012495,6.8e-05
-10.739085,0.022061,0.000401
-10.718676,0.027139,0.000893
-10.698268,0.033145,0.001517
-10.677859,0.037479,0.002234
-10.65745,0.043136,0.003061
-10.637042,0.054119,0.004041
-10.616633,0.048293,0.005113
-10.596224,0.052319,0.006151
-10.575816,0.052995,0.007283
-10.555407,0.06627,0.008327
-10.534998,0.056481,0.009823
-10.514453,0.073615,0.011055
-10.494045,0.079324,0.012676
-10.473636,0.070321,0.014282
-10.453227,0.046821,0.015549
-10.432819,0.017781,0.016156
-10.41241,0.007064,0.016391
-10.392001,0.002501,0.016486
-10.371592,5e-05,0.016508
-10.351184,0.0,0.016508
-10.330775,0.0,0.016508
-10.310366,0.0,0.016508
-10.289958,0.0,0.016508
-10.269413,0.0,0.016508
-10.249004,0.0,0.016508
-10.228596,0.0,0.016508
-10.208187,0.0,0.016508
-10.187778,0.004405,0.016516
-10.167369,0.13533,0.017157
-10.146961,0.4658,0.024269
-10.126552,0.47042,0.034785
-10.106143,0.21777,0.041596
-10.085735,0.38427,0.046945
-10.065326,0.6469,0.057761
-10.044917,0.53256,0.069945
-10.024372,0.39479,0.079718
-10.003964,0.14711,0.084194
-9.983555,0.36835,0.088979
-9.963146,0.42624,0.097265
-9.942738,0.39948,0.105474
-9.922329,0.35642,0.11392
-9.90192,0.32285,0.121089
-9.881512,0.31761,0.127137
-9.861103,0.31559,0.133835
-9.840694,0.28218,0.139718
-9.820285,0.24595,0.145609
-9.799877,0.19902,0.149133
-9.779332,0.27527,0.155691
-9.758923,0.43311,0.164712
-9.738515,0.18114,0.169664
-9.718106,0.62444,0.177338
-9.697697,0.97226,0.193284
-9.677289,0.80921,0.211978
-9.65688,0.37542,0.226047
-9.636471,1.1093,0.237965
-9.616062,0.72114,0.259435
-9.595654,0.58887,0.276388
-9.575245,0.6686,0.291423
-9.554836,1.6768,0.317831
-9.534292,2.6752,0.355329
-9.513883,0.97419,0.394432
-9.493474,0.5572,0.410582
-9.473065,0.4878,0.418868
-9.452657,0.77371,0.431943
-9.432248,0.50198,0.44261
-9.411839,0.44281,0.454597
-9.391431,0.13559,0.459713
-9.371022,0.14236,0.46257
-9.350613,0.14717,0.466107
-9.330205,0.039023,0.468951
-9.309796,0.14076,0.472189
-9.289251,0.17732,0.475564
-9.268842,0.0,0.477128
-9.248434,0.0,0.477128
-9.228025,0.0,0.477128
-9.207616,0.0,0.477128
-9.187208,0.0,0.477128
-9.166799,0.0,0.477128
-9.14639,0.0,0.477128
-9.125982,0.0,0.477128
-9.105573,0.0,0.477128
-9.085164,0.0,0.477128
-9.064755,0.0,0.477128
-9.044211,0.0,0.477128
-9.023802,0.0,0.477128
-9.003393,0.0,0.477128
-8.982985,0.004992,0.477155
-8.962576,0.015297,0.4774
-8.942167,0.006257,0.477564
-8.921758,0.015666,0.477917
-8.90135,0.003699,0.478067
-8.880941,0.0,0.478094
-8.860532,0.0,0.478094
-8.840124,0.0,0.478094
-8.819715,0.0,0.478094
-8.79917,0.0,0.478094
-8.778761,0.0,0.478094
-8.758353,0.0,0.478094
-8.737944,0.0,0.478094
-8.717535,0.0,0.478094
-8.697127,0.0,0.478094
-8.676718,0.0,0.478094
-8.656309,0.0,0.478094
-8.635901,0.0,0.478094
-8.615492,0.0,0.478094
-8.595083,0.0,0.478094
-8.574674,0.0,0.478094
-8.55413,0.0,0.478094
-8.533721,0.0,0.478094
-8.513312,0.0,0.478094
-8.492904,0.0,0.478094
-8.472495,0.0,0.478094
-8.452086,0.0,0.478094
-8.431678,0.0,0.478094
-8.411269,0.0,0.478094
-8.39086,0.0,0.478094
-8.370451,0.0,0.478094
-8.350043,0.0,0.478094
-8.329634,0.0,0.478094
-8.309089,0.0,0.478094
-8.288681,0.0,0.478094
-8.268272,0.0,0.478094
-8.247863,0.0,0.478094
-8.227454,0.0,0.478094
-8.207046,0.0,0.478094
-8.186637,0.0,0.478094
-8.166228,0.0,0.478094
-8.14582,0.0,0.478094
-8.125411,0.0,0.478094
-8.105002,0.0,0.478094
-8.084594,0.0,0.478094
-8.064049,0.0,0.478094
-8.04364,0.0,0.478094
-8.023231,0.0,0.478094
-8.002823,0.0,0.478094
-7.982414,0.0,0.478094
-7.962005,0.0,0.478094
-7.941597,0.0,0.478094
-7.921188,0.0,0.478094
-7.900779,0.0,0.478094
-7.880371,0.0,0.478094
-7.859962,0.0,0.478094
-7.839553,0.0,0.478094
-7.819008,0.0,0.478094
-7.7986,0.0,0.478094
-7.778191,0.0,0.478094
-7.757782,0.0,0.478094
-7.737374,0.0,0.478094
-7.716965,0.0,0.478094
-7.696556,0.0,0.478094
-7.676147,0.0,0.478094
-7.655739,0.0,0.478094
-7.63533,0.0,0.478094
-7.614921,0.0,0.478094
-7.594513,0.0,0.478094
-7.573968,0.0,0.478094
-7.553559,0.0,0.478094
-7.53315,0.0,0.478094
-7.512742,0.0,0.478094
-7.492333,0.0,0.478094
-7.471924,0.0,0.478094
-7.451516,0.0,0.478094
-7.431107,0.0,0.478094
-7.410698,0.0,0.478094
-7.39029,0.0,0.478094
-7.369881,0.0,0.478094
-7.349472,0.0,0.478094
-7.328927,0.0,0.478094
-7.308519,0.0,0.478094
-7.28811,0.0,0.478094
-7.267701,0.0,0.478094
-7.247293,0.0,0.478094
-7.226884,0.0,0.478094
-7.206475,0.0,0.478094
-7.186067,0.0,0.478094
-7.165658,0.0,0.478094
-7.145249,0.0,0.478094
-7.12484,0.0,0.478094
-7.104432,0.0,0.478094
-7.083887,0.0,0.478094
