k,Energy (eV)
0.0,-10.571299
0.02605,-10.582184
0.0521,-10.594427
0.07815,-10.605312
0.1042,-10.616197
0.13025,-10.627082
0.1563,-10.637967
0.18235,-10.648851
0.2084,-10.658376
0.23445,-10.66926
0.2605,-10.678784
0.28655,-10.688309
0.3126,-10.696471
0.33865,-10.704635
0.3647,-10.712798
0.39074,-10.720962
0.41679,-10.727765
0.44284,-10.734568
0.46889,-10.740009
0.49494,-10.746814
0.52099,-10.750895
0.54704,-10.756337
0.57309,-10.760418
0.59914,-10.76314
0.62519,-10.767222
0.65124,-10.768583
0.67729,-10.771303
0.70334,-10.772664
0.72939,-10.774025
0.75544,-10.774025
,
,
0.0,-10.571299
0.02605,-10.560413
0.0521,-10.548168
0.07815,-10.537283
0.1042,-10.525038
0.13025,-10.514154
0.1563,-10.503269
0.18235,-10.495107
0.2084,-10.495107
0.23445,-10.495107
0.2605,-10.493746
0.28655,-10.493746
0.3126,-10.492385
0.33865,-10.492385
0.3647,-10.491024
0.39074,-10.489663
0.41679,-10.489663
0.44284,-10.488302
0.46889,-10.486941
0.49494,-10.485582
0.52099,-10.485582
0.54704,-10.484221
0.57309,-10.482861
0.59914,-10.482861
0.62519,-10.4815
0.65124,-10.4815
0.67729,-10.4815
0.70334,-10.4815
0.72939,-10.480139
0.75544,-10.480139
,
,
0.0,-10.492385
0.02605,-10.493746
0.0521,-10.493746
0.07815,-10.495107
0.1042,-10.495107
0.13025,-10.495107
0.1563,-10.495107
0.18235,-10.492385
0.2084,-10.4815
0.23445,-10.473337
0.2605,-10.470615
0.28655,-10.466533
0.3126,-10.463813
0.33865,-10.461091
0.3647,-10.457008
0.39074,-10.452928
0.41679,-10.450207
0.44284,-10.446126
0.46889,-10.443404
0.49494,-10.439322
0.52099,-10.436602
0.54704,-10.43388
0.57309,-10.431158
0.59914,-10.428436
0.62519,-10.425716
0.65124,-10.424356
0.67729,-10.422995
0.70334,-10.421635
0.72939,-10.421635
0.75544,-10.421635
,
,
0.0,-10.492385
0.02605,-10.491024
0.0521,-10.489663
0.07815,-10.488302
0.1042,-10.485582
0.13025,-10.484221
0.1563,-10.4815
0.18235,-10.478779
0.2084,-10.476057
0.23445,-10.471976
0.2605,-10.461091
0.28655,-10.451567
0.3126,-10.443404
0.33865,-10.43388
0.3647,-10.427076
0.39074,-10.418913
0.41679,-10.41211
0.44284,-10.405308
0.46889,-10.399864
0.49494,-10.394423
0.52099,-10.38898
0.54704,-10.384899
0.57309,-10.380816
0.59914,-10.378097
0.62519,-10.375375
0.65124,-10.374014
0.67729,-10.371292
0.70334,-10.371292
0.72939,-10.369932
0.75544,-10.369932
,
,
0.0,-10.194417
0.02605,-10.194417
0.0521,-10.194417
0.07815,-10.193056
0.1042,-10.191697
0.13025,-10.188975
0.1563,-10.186254
0.18235,-10.183532
0.2084,-10.179451
0.23445,-10.175369
0.2605,-10.171288
0.28655,-10.167206
0.3126,-10.161764
0.33865,-10.156321
0.3647,-10.149519
0.39074,-10.142716
0.41679,-10.135912
0.44284,-10.129109
0.46889,-10.122307
0.49494,-10.114144
0.52099,-10.10734
0.54704,-10.099176
0.57309,-10.091014
0.59914,-10.08285
0.62519,-10.076046
0.65124,-10.067883
0.67729,-10.061081
0.70334,-10.061081
0.72939,-10.061081
0.75544,-10.062442
,
,
0.0,-10.194417
0.02605,-10.194417
0.0521,-10.194417
0.07815,-10.193056
0.1042,-10.191697
0.13025,-10.188975
0.1563,-10.186254
0.18235,-10.183532
0.2084,-10.179451
0.23445,-10.175369
0.2605,-10.171288
0.28655,-10.167206
0.3126,-10.161764
0.33865,-10.156321
0.3647,-10.149519
0.39074,-10.142716
0.41679,-10.135912
0.44284,-10.129109
0.46889,-10.122307
0.49494,-10.114144
0.52099,-10.10734
0.54704,-10.099176
0.57309,-10.091014
0.59914,-10.08285
0.62519,-10.076046
0.65124,-10.067883
0.67729,-10.061081
0.70334,-10.055637
0.72939,-10.051557
0.75544,-10.050196
,
,
0.0,-10.013461
0.02605,-10.014821
0.0521,-10.014821
0.07815,-10.016182
0.1042,-10.016182
0.13025,-10.016182
0.1563,-10.016182
0.18235,-10.016182
0.2084,-10.014821
0.23445,-10.013461
0.2605,-10.0121
0.28655,-10.009378
0.3126,-10.008018
0.33865,-10.005298
0.3647,-10.006659
0.39074,-10.0121
0.41679,-10.017542
0.44284,-10.022985
0.46889,-10.028426
0.49494,-10.03387
0.52099,-10.037951
0.54704,-10.043393
0.57309,-10.047474
0.59914,-10.050196
0.62519,-10.054278
0.65124,-10.056998
0.67729,-10.05972
0.70334,-10.055637
0.72939,-10.051557
0.75544,-10.050196
,
,
0.0,-10.013461
0.02605,-10.0121
0.0521,-10.010739
0.07815,-10.009378
0.1042,-10.006659
0.13025,-10.005298
0.1563,-10.003937
0.18235,-10.001215
0.2084,-9.999854
0.23445,-9.997132
0.2605,-9.995773
0.28655,-9.994412
0.3126,-9.995773
0.33865,-10.001215
0.3647,-10.001215
0.39074,-9.998493
0.41679,-9.994412
0.44284,-9.99033
0.46889,-9.986249
0.49494,-9.982167
0.52099,-9.980806
0.54704,-9.980806
0.57309,-9.982167
0.59914,-9.982167
0.62519,-9.982167
0.65124,-9.982167
0.67729,-9.983528
0.70334,-9.983528
0.72939,-9.983528
0.75544,-9.983528
,
,
0.0,-9.959037
0.02605,-9.959037
0.0521,-9.960398
0.07815,-9.961759
0.1042,-9.964479
0.13025,-9.967201
0.1563,-9.969921
0.18235,-9.974004
0.2084,-9.978085
0.23445,-9.982167
0.2605,-9.986249
0.28655,-9.991691
0.3126,-9.991691
0.33865,-9.99033
0.3647,-9.98897
0.39074,-9.986249
0.41679,-9.984889
0.44284,-9.983528
0.46889,-9.982167
0.49494,-9.980806
0.52099,-9.979445
0.54704,-9.979445
0.57309,-9.978085
0.59914,-9.976726
0.62519,-9.976726
0.65124,-9.975365
0.67729,-9.975365
0.70334,-9.975365
0.72939,-9.978085
0.75544,-9.979445
,
,
0.0,-9.959037
0.02605,-9.957677
0.0521,-9.957677
0.07815,-9.957677
0.1042,-9.959037
0.13025,-9.960398
0.1563,-9.960398
0.18235,-9.961759
0.2084,-9.964479
0.23445,-9.96584
0.2605,-9.967201
0.28655,-9.96856
0.3126,-9.969921
0.33865,-9.972643
0.3647,-9.974004
0.39074,-9.975365
0.41679,-9.976726
0.44284,-9.978085
0.46889,-9.979445
0.49494,-9.979445
0.52099,-9.976726
0.54704,-9.972643
0.57309,-9.96856
0.59914,-9.964479
0.62519,-9.961759
0.65124,-9.961759
0.67729,-9.96856
0.70334,-9.974004
0.72939,-9.978085
0.75544,-9.979445
,
,
0.0,-9.813455
0.02605,-9.813455
0.0521,-9.814816
0.07815,-9.817537
0.1042,-9.820259
0.13025,-9.82434
0.1563,-9.828422
0.18235,-9.833863
0.2084,-9.839307
0.23445,-9.844748
0.2605,-9.850191
0.28655,-9.855633
0.3126,-9.862435
0.33865,-9.86924
0.3647,-9.876042
0.39074,-9.882844
0.41679,-9.891007
0.44284,-9.897812
0.46889,-9.905974
0.49494,-9.914138
0.52099,-9.922301
0.54704,-9.930465
0.57309,-9.938627
0.59914,-9.946793
0.62519,-9.954956
0.65124,-9.961759
0.67729,-9.96856
0.70334,-9.974004
0.72939,-9.975365
0.75544,-9.975365
,
,
0.0,-9.813455
0.02605,-9.813455
0.0521,-9.814816
0.07815,-9.817537
0.1042,-9.820259
0.13025,-9.82434
0.1563,-9.828422
0.18235,-9.833863
0.2084,-9.839307
0.23445,-9.844748
0.2605,-9.850191
0.28655,-9.855633
0.3126,-9.862435
0.33865,-9.86924
0.3647,-9.876042
0.39074,-9.882844
0.41679,-9.891007
0.44284,-9.897812
0.46889,-9.905974
0.49494,-9.914138
0.52099,-9.922301
0.54704,-9.930465
0.57309,-9.938627
0.59914,-9.946793
0.62519,-9.954956
0.65124,-9.957677
0.67729,-9.954956
0.70334,-9.953595
0.72939,-9.952234
0.75544,-9.952234
,
,
0.0,-9.782161
0.02605,-9.782161
0.0521,-9.782161
0.07815,-9.780802
0.1042,-9.779441
0.13025,-9.779441
0.1563,-9.77808
0.18235,-9.776719
0.2084,-9.776719
0.23445,-9.776719
0.2605,-9.775358
0.28655,-9.775358
0.3126,-9.776719
0.33865,-9.776719
0.3647,-9.776719
0.39074,-9.77808
0.41679,-9.77808
0.44284,-9.779441
0.46889,-9.779441
0.49494,-9.783522
0.52099,-9.790326
0.54704,-9.795768
0.57309,-9.80121
0.59914,-9.806652
0.62519,-9.810735
0.65124,-9.813455
0.67729,-9.816176
0.70334,-9.818898
0.72939,-9.820259
0.75544,-9.820259
,
,
0.0,-9.782161
0.02605,-9.782161
0.0521,-9.782161
0.07815,-9.780802
0.1042,-9.779441
0.13025,-9.779441
0.1563,-9.77808
0.18235,-9.776719
0.2084,-9.776719
0.23445,-9.776719
0.2605,-9.775358
0.28655,-9.775358
0.3126,-9.776719
0.33865,-9.776719
0.3647,-9.776719
0.39074,-9.77808
0.41679,-9.77808
0.44284,-9.779441
0.46889,-9.779441
