Type,Iteration,converged,ETOT (eV),Eime (s)
first optimization,1,False,-13034.796305034839,12998.7
first optimization,2,False,-13034.684773291616,10469.9
first optimization,3,False,-13034.52111107333,10502.0
first optimization,4,False,-13034.550528510397,10530.0
first optimization,5,False,-13034.754967046494,10523.5
first optimization,6,False,-13034.812823826433,10511.9
first optimization,7,False,-13034.613958675403,10504.8
first optimization,8,False,-13034.844961677343,10502.3
first optimization,9,True,-13034.86162315209,10029.7
first optimization,1,True,-13034.861627809596,14496.5
