Energy (eV),COHP,Int. COHP
-12.286772,0.0,0.0
-12.26718,0.0,0.0
-12.247451,0.0,0.0
-12.227859,0.0,0.0
-12.208131,0.0,0.0
-12.188538,0.0,0.0
-12.16881,0.0,0.0
-12.149217,0.0,0.0
-12.129489,0.0,0.0
-12.109897,0.0,0.0
-12.090168,0.0,0.0
-12.070576,0.0,0.0
-12.050848,0.0,0.0
-12.031255,0.0,0.0
-12.011527,0.0,0.0
-11.991934,0.0,0.0
-11.972206,0.0,0.0
-11.952614,0.0,0.0
-11.932885,0.0,0.0
-11.913293,0.0,0.0
-11.893564,0.0,0.0
-11.873836,0.0,0.0
-11.854244,0.0,0.0
-11.834515,0.0,0.0
-11.814923,0.0,0.0
-11.795195,0.0,0.0
-11.775602,0.0,0.0
-11.755874,0.0,0.0
-11.736281,0.0,0.0
-11.716553,0.0,0.0
-11.696961,0.0,0.0
-11.677232,0.0,0.0
-11.65764,0.0,0.0
-11.637912,0.0,0.0
-11.618319,0.0,0.0
-11.598591,0.0,0.0
-11.578998,0.0,0.0
-11.55927,0.0,0.0
-11.539678,0.0,0.0
-11.519949,0.0,0.0
-11.500221,0.0,0.0
-11.480628,0.0,0.0
-11.4609,0.0,0.0
-11.441308,0.0,0.0
-11.421579,0.0,0.0
-11.401987,0.0,0.0
-11.382259,0.0,0.0
-11.362666,0.0,0.0
-11.342938,0.0,0.0
-11.323345,0.0,0.0
-11.303617,0.0,0.0
-11.284025,0.0,0.0
-11.264296,0.0,0.0
-11.244704,0.0,0.0
-11.224975,0.0,0.0
-11.205383,0.0,0.0
-11.185655,0.0,0.0
-11.166062,0.0,0.0
-11.146334,0.0,0.0
-11.126742,0.0,0.0
-11.107013,0.0,0.0
-11.087285,0.0,0.0
-11.067692,0.0,0.0
-11.047964,0.0,0.0
-11.028372,0.0,0.0
-11.008643,0.0,0.0
-10.989051,0.0,0.0
-10.969322,0.0,0.0
-10.94973,0.0,0.0
-10.930002,0.0,0.0
-10.910409,0.0,0.0
-10.890681,0.0,0.0
-10.871089,0.0,0.0
-10.85136,0.0,0.0
-10.831768,0.0,0.0
-10.812039,0.0,0.0
-10.792447,0.000111,0.0
-10.772719,0.000741,1e-05
-10.753126,0.001032,2.9e-05
-10.733398,0.001328,5.2e-05
-10.71367,0.001464,7.9e-05
-10.694077,0.001679,0.00011
-10.674349,0.001957,0.000145
-10.654756,0.002167,0.000188
-10.635028,0.002081,0.000227
-10.615436,0.002245,0.00027
-10.595707,0.001978,0.000312
-10.576115,0.003351,0.000369
-10.556386,0.002527,0.00042
-10.536794,0.003472,0.000484
-10.517066,0.003455,0.000553
-10.497473,0.003185,0.000616
-10.477745,0.001419,0.000661
-10.458153,0.000547,0.000679
-10.438424,0.000257,0.000686
-10.418832,6.2e-05,0.000689
-10.399103,0.0,0.00069
-10.379511,0.0,0.00069
-10.359783,0.0,0.00069
-10.34019,0.0,0.00069
-10.320462,0.0,0.00069
-10.300733,0.0,0.00069
-10.281141,0.0,0.00069
-10.261413,0.0,0.00069
-10.24182,0.0,0.00069
-10.222092,0.0,0.00069
-10.2025,3.1e-05,0.00069
-10.182771,0.000348,0.000693
-10.163179,0.001699,0.000708
-10.14345,0.012209,0.000837
-10.123858,0.005421,0.001044
-10.10413,0.002458,0.001108
-10.084537,0.005451,0.001193
-10.064809,0.010405,0.001343
-10.045217,0.009946,0.001541
-10.025488,0.008978,0.00173
-10.005896,0.008304,0.001906
-9.986167,0.003382,0.002038
-9.966575,0.007427,0.002126
-9.946847,0.008334,0.002294
-9.927254,0.009135,0.002465
-9.907526,0.011686,0.00269
-9.887797,0.014039,0.00298
-9.868205,0.011751,0.003217
-9.848477,0.010856,0.003463
-9.828884,0.010827,0.00367
-9.809156,0.001338,0.003828
-9.789564,0.006747,0.003899
-9.769835,0.004894,0.004016
-9.750243,0.005685,0.004139
-9.730514,0.001387,0.004163
-9.710922,0.011131,0.004252
-9.691194,0.013409,0.004467
-9.671601,0.014405,0.004771
-9.651873,0.014517,0.005074
-9.632281,0.008558,0.005303
-9.612552,0.015768,0.005604
-9.59296,0.011523,0.005868
-9.573231,0.016201,0.006155
-9.553639,0.007999,0.006433
-9.533911,0.021127,0.006736
-9.514182,0.019918,0.007053
-9.49459,0.03436,0.007603
-9.474861,0.015428,0.008307
-9.455269,0.015759,0.00862
-9.435541,0.013347,0.008897
-9.415948,0.006368,0.009089
-9.39622,0.008382,0.009245
-9.376628,0.001884,0.009344
-9.356899,0.004156,0.009402
-9.337307,0.003333,0.009457
-9.317578,0.003787,0.009498
-9.297986,0.004368,0.009555
-9.278258,0.000223,0.009606
-9.258665,0.0,0.009605
-9.238937,0.0,0.009605
-9.219345,0.0,0.009605
-9.199616,0.0,0.009605
-9.180024,0.0,0.009605
-9.160295,0.0,0.009605
-9.140703,0.0,0.009605
-9.120975,0.0,0.009605
-9.101246,0.0,0.009605
-9.081654,0.0,0.009605
-9.061925,0.0,0.009605
-9.042333,0.00018,0.009606
-9.022605,0.000794,0.009613
-9.003012,0.0005,0.009627
-8.983284,0.001413,0.009637
-8.963692,0.0013,0.009673
-8.943963,0.000606,0.009691
-8.924371,0.0,0.009692
-8.904642,0.0,0.009692
-8.88505,0.0,0.009692
-8.865322,0.0,0.009692
-8.845729,0.0,0.009692
-8.826001,0.0,0.009692
-8.806408,0.0,0.009692
-8.78668,0.0,0.009692
-8.767088,0.0,0.009692
-8.747359,0.0,0.009692
-8.727631,0.0,0.009692
-8.708039,0.0,0.009692
-8.68831,0.0,0.009692
-8.668718,0.0,0.009692
-8.648989,0.0,0.009692
-8.629397,0.0,0.009692
-8.609669,0.0,0.009692
-8.590076,0.0,0.009692
-8.570348,0.0,0.009692
-8.550755,0.0,0.009692
-8.531027,0.0,0.009692
-8.511435,0.0,0.009692
-8.491706,0.0,0.009692
-8.472114,0.0,0.009692
-8.452386,0.0,0.009692
-8.432793,0.0,0.009692
-8.413065,0.0,0.009692
-8.393472,0.0,0.009692
-8.373744,0.0,0.009692
-8.354152,0.0,0.009692
-8.334423,0.0,0.009692
-8.314695,0.0,0.009692
-8.295103,0.0,0.009692
-8.275374,0.0,0.009692
-8.255782,0.0,0.009692
-8.236053,0.0,0.009692
-8.216461,0.0,0.009692
-8.196733,0.0,0.009692
-8.17714,0.0,0.009692
-8.157412,0.0,0.009692
-8.137819,0.0,0.009692
-8.118091,0.0,0.009692
-8.098499,0.0,0.009692
-8.07877,0.0,0.009692
-8.059178,0.0,0.009692
-8.03945,0.0,0.009692
-8.019857,0.0,0.009692
-8.000129,0.0,0.009692
-7.980536,0.0,0.009692
-7.960808,0.0,0.009692
-7.941216,0.0,0.009692
-7.921487,0.0,0.009692
-7.901759,0.0,0.009692
-7.882166,0.0,0.009692
-7.862438,0.0,0.009692
-7.842846,0.0,0.009692
-7.823117,0.0,0.009692
-7.803525,0.0,0.009692
-7.783797,0.0,0.009692
-7.764204,0.0,0.009692
-7.744476,0.0,0.009692
-7.724883,0.0,0.009692
-7.705155,0.0,0.009692
-7.685563,0.0,0.009692
-7.665834,0.0,0.009692
-7.646242,0.0,0.009692
-7.626513,0.0,0.009692
-7.606921,0.0,0.009692
-7.587193,0.0,0.009692
-7.5676,0.0,0.009692
-7.547872,0.0,0.009692
-7.528144,0.0,0.009692
-7.508551,0.0,0.009692
-7.488823,0.0,0.009692
-7.46923,0.0,0.009692
-7.449502,0.0,0.009692
-7.42991,0.0,0.009692
-7.410181,0.0,0.009692
-7.390589,0.0,0.009692
-7.370861,0.0,0.009692
-7.351268,0.0,0.009692
-7.33154,0.0,0.009692
-7.311947,0.0,0.009692
-7.292219,0.0,0.009692
