Energy (eV),COHP,Int. COHP
-12.261207,0.0,0.0
-12.241614,0.0,0.0
-12.221886,0.0,0.0
-12.202294,0.0,0.0
-12.182565,0.0,0.0
-12.162973,0.0,0.0
-12.143245,0.0,0.0
-12.123652,0.0,0.0
-12.103924,0.0,0.0
-12.084331,0.0,0.0
-12.064603,0.0,0.0
-12.045011,0.0,0.0
-12.025282,0.0,0.0
-12.00569,0.0,0.0
-11.985961,0.0,0.0
-11.966369,0.0,0.0
-11.946641,0.0,0.0
-11.927048,0.0,0.0
-11.90732,0.0,0.0
-11.887728,0.0,0.0
-11.867999,0.0,0.0
-11.848271,0.0,0.0
-11.828678,0.0,0.0
-11.80895,0.0,0.0
-11.789358,0.0,0.0
-11.769629,0.0,0.0
-11.750037,0.0,0.0
-11.730308,0.0,0.0
-11.710716,0.0,0.0
-11.690988,0.0,0.0
-11.671395,0.0,0.0
-11.651667,0.0,0.0
-11.632075,0.0,0.0
-11.612346,0.0,0.0
-11.592754,0.0,0.0
-11.573025,0.0,0.0
-11.553433,0.0,0.0
-11.533705,0.0,0.0
-11.514112,0.0,0.0
-11.494384,0.0,0.0
-11.474656,0.0,0.0
-11.455063,0.0,0.0
-11.435335,0.0,0.0
-11.415742,0.0,0.0
-11.396014,0.0,0.0
-11.376422,0.0,0.0
-11.356693,0.0,0.0
-11.337101,0.0,0.0
-11.317372,0.0,0.0
-11.29778,0.0,0.0
-11.278052,0.0,0.0
-11.258459,0.0,0.0
-11.238731,0.0,0.0
-11.219139,0.0,0.0
-11.19941,0.0,0.0
-11.179818,0.0,0.0
-11.160089,0.0,0.0
-11.140497,0.0,0.0
-11.120769,0.0,0.0
-11.101176,0.0,0.0
-11.081448,0.0,0.0
-11.061719,0.0,0.0
-11.042127,0.0,0.0
-11.022399,0.0,0.0
-11.002806,0.0,0.0
-10.983078,0.0,0.0
-10.963486,0.0,0.0
-10.943757,0.0,0.0
-10.924165,0.0,0.0
-10.904436,0.0,0.0
-10.884844,0.0,0.0
-10.865116,0.0,0.0
-10.845523,0.0,0.0
-10.825795,0.0,0.0
-10.806203,0.0,0.0
-10.786474,0.0,0.0
-10.766882,0.010792,8.4e-05
-10.747153,0.019863,0.000387
-10.727561,0.023818,0.000807
-10.707833,0.028228,0.001327
-10.688104,0.03117,0.001908
-10.668512,0.034948,0.002561
-10.648783,0.042679,0.003312
-10.629191,0.039883,0.004146
-10.609463,0.043169,0.004966
-10.58987,0.041847,0.005833
-10.570142,0.052834,0.006627
-10.55055,0.048496,0.007845
-10.530821,0.066499,0.008892
-10.511229,0.08115,0.01041
-10.4915,0.067167,0.011853
-10.471908,0.048293,0.013084
-10.45218,0.022337,0.013737
-10.432587,0.011737,0.014056
-10.412859,0.00625,0.014231
-10.393267,0.0,0.014292
-10.373538,0.0,0.014292
-10.353946,0.0,0.014292
-10.334217,0.0,0.014292
-10.314625,0.0,0.014292
-10.294897,0.0,0.014292
-10.275168,0.0,0.014292
-10.255576,0.0,0.014292
-10.235847,0.0,0.014292
-10.216255,0.0,0.014292
-10.196527,0.001555,0.014293
-10.176934,0.023799,0.014558
-10.157206,0.041847,0.0152
-10.137614,0.116652,0.016782
-10.117885,0.128934,0.019602
-10.098293,0.036754,0.020953
-10.078564,0.049808,0.021792
-10.058972,0.065691,0.022937
-10.039244,0.054399,0.024173
-10.019651,0.04282,0.025139
-9.999923,0.036699,0.025954
-9.980331,0.020124,0.026516
-9.960602,0.037718,0.026906
-9.94101,0.030887,0.027607
-9.921281,0.033836,0.028245
-9.901689,0.035695,0.028946
-9.881961,0.039554,0.029762
-9.862232,0.04189,0.030536
-9.84264,0.045952,0.031495
-9.822911,0.043432,0.032354
-9.803319,0.03115,0.033415
-9.783591,0.058134,0.033973
-9.763998,0.068716,0.035395
-9.74427,0.064579,0.036898
-9.724678,0.012124,0.0374
-9.704949,0.070191,0.038061
-9.685357,0.092957,0.039577
-9.665628,0.081665,0.041418
-9.646036,0.064258,0.043007
-9.626308,0.046253,0.044071
-9.606715,0.055799,0.045788
-9.586987,0.030105,0.046988
-9.567394,0.059795,0.048256
-9.547666,0.033605,0.049206
-9.528074,0.058232,0.050754
-9.508345,0.075196,0.052256
-9.488617,0.138059,0.054555
-9.469025,0.072431,0.056344
-9.449296,0.10147,0.05759
-9.429704,0.071444,0.059209
-9.409975,0.033947,0.06023
-9.390383,0.039651,0.060902
-9.370655,0.072418,0.063075
-9.351062,0.121412,0.06485
-9.331334,0.101273,0.066539
-9.311741,0.084906,0.067603
-9.292013,0.084705,0.06903
-9.272421,0.058264,0.070879
-9.252692,0.0,0.071003
-9.2331,0.0,0.071003
-9.213372,0.0,0.071003
-9.193779,0.0,0.071003
-9.174051,0.0,0.071003
-9.154458,0.0,0.071003
-9.13473,0.0,0.071003
-9.115138,0.0,0.071003
-9.095409,0.0,0.071003
-9.075681,0.0,0.071003
-9.056089,0.0,0.071003
-9.03636,0.00078,0.071003
-9.016768,0.080239,0.071819
-8.997039,0.12962,0.074394
-8.977447,0.026994,0.07562
-8.957719,0.134866,0.07764
-8.938126,0.005501,0.078468
-8.918398,0.0,0.078494
-8.898805,0.0,0.078494
-8.879077,0.0,0.078494
-8.859485,0.0,0.078494
-8.839756,0.0,0.078494
-8.820164,0.0,0.078494
-8.800436,0.0,0.078494
-8.780843,0.0,0.078494
-8.761115,0.0,0.078494
-8.741522,0.0,0.078494
-8.721794,0.0,0.078494
-8.702066,0.0,0.078494
-8.682473,0.0,0.078494
-8.662745,0.0,0.078494
-8.643152,0.0,0.078494
-8.623424,0.0,0.078494
-8.603832,0.0,0.078494
-8.584103,0.0,0.078494
-8.564511,0.0,0.078494
-8.544783,0.0,0.078494
-8.52519,0.0,0.078494
-8.505462,0.0,0.078494
-8.485869,0.0,0.078494
-8.466141,0.0,0.078494
-8.446549,0.0,0.078494
-8.42682,0.0,0.078494
-8.407228,0.0,0.078494
-8.387499,0.0,0.078494
-8.367907,0.0,0.078494
-8.348179,0.0,0.078494
-8.328586,0.0,0.078494
-8.308858,0.0,0.078494
-8.28913,0.0,0.078494
-8.269537,0.0,0.078494
-8.249809,0.0,0.078494
-8.230216,0.0,0.078494
-8.210488,0.0,0.078494
-8.190896,0.0,0.078494
-8.171167,0.0,0.078494
-8.151575,0.0,0.078494
-8.131847,0.0,0.078494
-8.112254,0.0,0.078494
-8.092526,0.0,0.078494
-8.072933,0.0,0.078494
-8.053205,0.0,0.078494
-8.033613,0.0,0.078494
-8.013884,0.0,0.078494
-7.994292,0.0,0.078494
-7.974563,0.0,0.078494
-7.954971,0.0,0.078494
-7.935243,0.0,0.078494
-7.91565,0.0,0.078494
-7.895922,0.0,0.078494
-7.876194,0.0,0.078494
-7.856601,0.0,0.078494
-7.836873,0.0,0.078494
-7.81728,0.0,0.078494
-7.797552,0.0,0.078494
-7.77796,0.0,0.078494
-7.758231,0.0,0.078494
-7.738639,0.0,0.078494
-7.71891,0.0,0.078494
-7.699318,0.0,0.078494
-7.67959,0.0,0.078494
-7.659997,0.0,0.078494
-7.640269,0.0,0.078494
-7.620677,0.0,0.078494
-7.600948,0.0,0.078494
-7.581356,0.0,0.078494
-7.561627,0.0,0.078494
-7.542035,0.0,0.078494
-7.522307,0.0,0.078494
-7.502578,0.0,0.078494
-7.482986,0.0,0.078494
-7.463258,0.0,0.078494
-7.443665,0.0,0.078494
-7.423937,0.0,0.078494
-7.404344,0.0,0.078494
-7.384616,0.0,0.078494
-7.365024,0.0,0.078494
-7.345295,0.0,0.078494
-7.325703,0.0,0.078494
-7.305974,0.0,0.078494
-7.286382,0.0,0.078494
-7.266654,0.0,0.078494
-7.247061,0.0,0.078494
-7.227333,0.0,0.078494
-7.207741,0.0,0.078494
-7.188012,0.0,0.078494
-7.16842,0.0,0.078494
-7.148691,0.0,0.078494
-7.129099,0.0,0.078494
-7.109371,0.0,0.078494
-7.089642,0.0,0.078494
-7.07005,0.0,0.078494
-7.050321,0.0,0.078494
-7.030729,0.0,0.078494
-7.011001,0.0,0.078494
-6.991408,0.0,0.078494
-6.97168,0.0,0.078494
-6.952088,0.0,0.078494
-6.932359,0.0,0.078494
-6.912767,0.0,0.078494
-6.893038,0.0,0.078494
-6.873446,0.0,0.078494
-6.853718,0.0,0.078494
-6.834125,0.0,0.078494
-6.814397,0.0,0.078494
-6.794805,0.0,0.078494
-6.775076,0.0,0.078494
-6.755484,0.0,0.078494
-6.735755,0.0,0.078494
-6.716027,0.0,0.078494
-6.696435,0.0,0.078494
-6.676706,0.0,0.078494
-6.657114,0.0,0.078494
-6.637385,0.0,0.078494
-6.617793,0.0,0.078494
-6.598065,0.0,0.078494
-6.578472,0.0,0.078494
-6.558744,0.0,0.078494
-6.539152,0.0,0.078494
-6.519423,0.0,0.078494
-6.499831,0.0,0.078494
-6.480102,0.0,0.078494
-6.46051,0.0,0.078494
-6.440782,0.0,0.078494
-6.421189,0.0,0.078494
-6.401461,0.0,0.078494
-6.381869,0.0,0.078494
-6.36214,0.0,0.078494
-6.342548,0.0,0.078494
-6.322819,0.0,0.078494
-6.303091,0.0,0.078494
-6.283499,0.0,0.078494
-6.26377,0.0,0.078494
-6.244178,0.0,0.078494
-6.224449,0.0,0.078494
-6.204857,0.0,0.078494
-6.185129,0.0,0.078494
-6.165536,0.0,0.078494
-6.145808,0.0,0.078494
-6.126216,0.0,0.078494
-6.106487,0.0,0.078494
-6.086895,0.0,0.078494
-6.067166,0.0,0.078494
-6.047574,0.0,0.078494
-6.027846,0.0,0.078494
-6.008253,0.0,0.078494
-5.988525,0.0,0.078494
-5.968932,0.0,0.078494
-5.949204,0.0,0.078494
-5.929612,0.0,0.078494
-5.909883,0.0,0.078494
-5.890155,0.0,0.078494
-5.870563,0.0,0.078494
-5.850834,0.0,0.078494
