n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-958044.19655559,-13034.86573454753,-62.6676237237862
1,initial,1,-958044.19686162,-13034.86573871128,-62.66762374380423
1,initial,2,-958044.1300928,-13034.864830274482,-62.66761937631963
1,initial,3,-958044.19538328,-13034.865718597426,-62.667623647103014
1,initial,4,-958044.19688928,-13034.865739087616,-62.66762374561354
1,initial,5,-958044.19700582,-13034.865740673225,-62.66762375323666
1,initial,6,-958044.19700621,-13034.86574067853,-62.66762375326216
1,initial,7,-958044.19700581,-13034.865740673089,-62.66762375323601
1,initial,8,-958044.19701353,-13034.865740778125,-62.66762375374098
1,initial,9,-958044.19701305,-13034.865740771593,-62.66762375370958
1,initial,10,-958044.19701093,-13034.86574074275,-62.667623753570915
