Energy (eV),COHP,Int. COHP
-12.53784,0.0,0.0
-12.518248,0.0,0.0
-12.498519,0.0,0.0
-12.478927,0.0,0.0
-12.459198,0.0,0.0
-12.439606,0.0,0.0
-12.419878,0.0,0.0
-12.400285,0.0,0.0
-12.380557,0.0,0.0
-12.360965,0.0,0.0
-12.341236,0.0,0.0
-12.321644,0.0,0.0
-12.301915,0.0,0.0
-12.282323,0.0,0.0
-12.262595,0.0,0.0
-12.243002,0.0,0.0
-12.223274,0.0,0.0
-12.203681,0.0,0.0
-12.183953,0.0,0.0
-12.164361,0.0,0.0
-12.144632,0.0,0.0
-12.124904,0.0,0.0
-12.105312,0.0,0.0
-12.085583,0.0,0.0
-12.065991,0.0,0.0
-12.046262,0.0,0.0
-12.02667,0.0,0.0
-12.006942,0.0,0.0
-11.987349,0.0,0.0
-11.967621,0.0,0.0
-11.948029,0.0,0.0
-11.9283,0.0,0.0
-11.908708,0.0,0.0
-11.888979,0.0,0.0
-11.869387,0.0,0.0
-11.849659,0.0,0.0
-11.830066,0.0,0.0
-11.810338,0.0,0.0
-11.790745,0.0,0.0
-11.771017,0.0,0.0
-11.751289,0.0,0.0
-11.731696,0.0,0.0
-11.711968,0.0,0.0
-11.692376,0.0,0.0
-11.672647,0.0,0.0
-11.653055,0.0,0.0
-11.633326,0.0,0.0
-11.613734,0.0,0.0
-11.594006,0.0,0.0
-11.574413,0.0,0.0
-11.554685,0.0,0.0
-11.535092,0.0,0.0
-11.515364,0.0,0.0
-11.495772,0.0,0.0
-11.476043,0.0,0.0
-11.456451,0.0,0.0
-11.436723,0.0,0.0
-11.41713,0.0,0.0
-11.397402,0.0,0.0
-11.377809,0.0,0.0
-11.358081,0.0,0.0
-11.338353,0.0,0.0
-11.31876,0.0,0.0
-11.299032,0.0,0.0
-11.279439,0.0,0.0
-11.259711,0.0,0.0
-11.240119,0.0,0.0
-11.22039,0.0,0.0
-11.200798,0.0,0.0
-11.18107,0.0,0.0
-11.161477,0.0,0.0
-11.141749,0.0,0.0
-11.122156,0.0,0.0
-11.102428,0.0,0.0
-11.082836,0.0,0.0
-11.063107,0.0,0.0
-11.043515,0.0,0.0
-11.023787,0.0,0.0
-11.004194,0.0,0.0
-10.984466,0.0,0.0
-10.964737,0.0,0.0
-10.945145,0.0,0.0
-10.925417,0.0,0.0
-10.905824,0.0,0.0
-10.886096,0.0,0.0
-10.866503,0.0,0.0
-10.846775,0.0,0.0
-10.827183,0.0,0.0
-10.807454,0.0,0.0
-10.787862,0.0,0.0
-10.768134,0.0,0.0
-10.748541,0.0,0.0
-10.728813,0.00406,3e-06
-10.70922,0.182537,0.002233
-10.689492,0.284946,0.007092
-10.6699,0.353707,0.013308
-10.650171,0.413815,0.020959
-10.630579,0.458867,0.029492
-10.61085,0.522025,0.039146
-10.591258,0.621515,0.050144
-10.57153,0.633227,0.063181
-10.551801,0.655832,0.075232
-10.532209,0.694356,0.088312
-10.512481,0.615209,0.101469
-10.492888,0.882362,0.114226
-10.47316,0.795436,0.133063
-10.453567,0.908427,0.148528
-10.433839,1.103658,0.169002
-10.414247,1.505042,0.193547
-10.394518,1.367161,0.222414
-10.374926,1.024125,0.247159
-10.355198,0.412508,0.259864
-10.335605,0.240438,0.26606
-10.315877,0.141889,0.269761
-10.296284,0.029696,0.271603
-10.276556,0.0,0.27166
-10.256964,0.0,0.27166
-10.237235,0.0,0.27166
-10.217643,0.0,0.27166
-10.197914,0.0,0.27166
-10.178322,0.0,0.27166
-10.158594,0.037734,0.271718
-10.138865,0.581209,0.27668
-10.119273,1.561403,0.297857
-10.099545,2.628901,0.343422
-10.079952,2.79284,0.402946
-10.060224,2.401555,0.453638
-10.040631,1.90383,0.493635
-10.020903,1.309727,0.527229
-10.001311,0.9902,0.55133
-9.981582,0.683343,0.564186
-9.96199,1.125871,0.583738
-9.942261,1.399909,0.608103
-9.922669,1.285239,0.634559
-9.902941,1.331172,0.660345
-9.883348,1.176926,0.683574
-9.86362,1.104222,0.706516
-9.844028,0.874803,0.725542
-9.824299,1.356267,0.745526
-9.804707,1.662878,0.779553
-9.784978,2.491238,0.817024
-9.76525,2.936062,0.881999
-9.745658,2.698419,0.936828
-9.725929,2.602722,0.991824
-9.706337,2.500805,1.054133
-9.686608,2.740475,1.097356
-9.667016,1.350109,1.135342
-9.647288,2.960882,1.182972
-9.627695,2.682457,1.238555
-9.607967,3.063598,1.287277
-9.588375,2.431321,1.343967
-9.568646,6.835034,1.418818
-9.549054,8.269789,1.562281
-9.529325,6.950029,1.711463
-9.509733,2.149393,1.800214
-9.490005,8.611563,1.888458
-9.470412,5.799642,2.02598
-9.450684,6.584428,2.156871
-9.431092,3.977907,2.277041
-9.411363,5.823031,2.362358
-9.391771,5.787217,2.498533
-9.372042,4.630439,2.585749
-9.352314,4.969713,2.67983
-9.332722,0.0,2.717955
-9.312993,0.0,2.717955
-9.293401,0.0,2.717955
-9.273672,0.0,2.717955
-9.25408,0.0,2.717955
-9.234352,0.0,2.717955
-9.214759,0.0,2.717955
-9.195031,0.0,2.717955
-9.175439,0.0,2.717955
-9.15571,0.0,2.717955
-9.136118,0.0,2.717955
-9.116389,0.0,2.717955
-9.096797,0.0,2.717955
-9.077069,0.0,2.717955
-9.057476,0.0,2.717955
-9.037748,0.0,2.717955
-9.018156,0.0,2.717955
-8.998427,0.0,2.717955
-8.978699,0.0,2.717955
-8.959106,0.0,2.717955
-8.939378,0.0,2.717955
-8.919786,0.0,2.717955
-8.900057,0.0,2.717955
-8.880465,0.0,2.717955
-8.860736,0.012592,2.717957
-8.841144,1.107135,2.727738
-8.821416,3.438642,2.767602
-8.801823,1.897532,2.821328
