n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
6,initial,0,-958044.0275783,-13034.863435492542,-62.66761267063722
6,initial,1,-958044.00741484,-13034.863161154475,-62.66761135170421
6,initial,2,-958040.83356297,-13034.819978665468,-62.66740374358398
6,initial,3,-958041.66108256,-13034.831237652043,-62.66745787332713
6,initial,4,-958043.89860279,-13034.861680689934,-62.66760423408622
6,initial,5,-958044.00526415,-13034.863131892822,-62.667611211023186
6,initial,6,-958044.01392521,-13034.863249732642,-62.66761177756078
6,initial,7,-958044.01000854,-13034.86319644359,-62.66761152136341
6,initial,8,-958044.0129844,-13034.863236932259,-62.667611716020474
6,initial,9,-958044.0134653,-13034.863243475242,-62.667611747477125
6,initial,10,-958044.01416796,-13034.863253035426,-62.66761179343955
6,initial,11,-958044.01416403,-13034.863252981955,-62.66761179318247
6,initial,12,-958044.01416697,-13034.863253021957,-62.66761179337479
6,initial,13,-958044.01417158,-13034.863253084679,-62.66761179367634
6,initial,14,-958044.01417116,-13034.863253078964,-62.66761179364887
6,initial,15,-958044.01416998,-13034.86325306291,-62.66761179357168
